Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1498341600.0 1.0 82 77 135 NA NA NA NA NA 156 203 238 NA NA NA NA NA 1896 298 241 NA NA NA NA NA 801 201 245 NA NA NA NA NA
1498341600.0 10.0 NA 98 379 0 NA NA NA NA NA 223 463 0 NA NA NA NA NA 1557 1527 330 NA NA NA NA NA 775 670 359 NA NA NA NA
1498341600.0 1000.0 NA 391 138 0 48 NA NA NA NA 481 193 0 83 NA NA NA NA 1999 426 337 100 NA NA NA NA 1087 339 347 113 NA NA NA
1498341600.0 1001.0 NA 356 197 0 0 0 0 0 NA 439 253 0 0 0 0 0 NA 1844 353 4 17 224 21 213 NA 1396 3457 163 135 289 116 326
1498341600.0 1002.0 NA 359 64 NA NA NA NA NA NA 457 108 NA NA NA NA NA NA 1709 121 NA NA NA NA NA NA 830 105 NA NA NA NA NA
1498341600.0 10021.0 NA 104 173 0 NA NA NA NA NA 229 239 0 NA NA NA NA NA 484 507 146 NA NA NA NA NA 448 391 163 NA NA NA NA
1498341600.0 10023.0 NA 104 176 0 NA NA NA NA NA 227 240 0 NA NA NA NA NA 437 347 162 NA NA NA NA NA 376 345 175 NA NA NA NA
1498341600.0 10026.0 NA 113 188 0 NA NA NA NA NA 246 257 0 NA NA NA NA NA 537 578 176 NA NA NA NA NA 425 417 190 NA NA NA NA
1498341600.0 1003.0 NA 285 0 NA NA NA NA NA NA 393 0 NA NA NA NA NA NA 2168 208 NA NA NA NA NA NA 876 230 NA NA NA NA NA
1498341600.0 1004.0 NA 385 128 0 0 0 0 NA NA 468 181 0 0 0 0 NA NA 491 108 4 18 218 189 NA NA 461 116 15 22 221 195 NA
1498341600.0 10224.0 NA 196 397 0 NA NA NA NA NA 347 563 0 NA NA NA NA NA 2547 2285 204 NA NA NA NA NA 1851 1733 216 NA NA NA NA
1498341600.0 10225.0 NA 180 414 0 NA NA NA NA NA 318 567 0 NA NA NA NA NA 2155 2648 208 NA NA NA NA NA 2350 1806 254 NA NA NA NA
1498341600.0 103.0 53 79 351 NA NA NA NA NA 100 181 426 NA NA NA NA NA 1321 170 336 NA NA NA NA NA 840 179 472 NA NA NA NA NA
1498341600.0 108.0 91 97 380 NA NA NA NA NA 167 198 468 NA NA NA NA NA 4375 312 542 NA NA NA NA NA 1512 217 398 NA NA NA NA NA
1498341600.0 11.0 NA 93 402 0 64 NA NA NA NA 217 479 0 98 NA NA NA NA 1252 703 347 26 NA NA NA NA 462 463 360 38 NA NA NA
