Timestamp WorkflowId PeakValueRss2 PeakValueVsize2 TotalJobCPU2 TotalJobTime2
1497992400.0 1020.0 38 181 36 75
1497992400.0 134.701 30 161 62 76
1497992400.0 134.703 34 162 70 92
1497992400.0 134.705 36 162 73 93
1497992400.0 134.707 33 160 68 91
1497992400.0 134.805 31 168 85 108
1497992400.0 134.903 39 165 67 82
1497992400.0 134.906 29 163 74 117
1497992400.0 134.99602 31 163 78 108
1497992400.0 134.99901 31 163 67 91
1497992400.0 4.4 29 154 51 63
1497992400.0 4.42 30 153 64 119
1497992400.0 4.44 27 153 63 75
1497992400.0 4.55 26 153 74 91
1497992400.0 4.58 40 171 67 1893
1497992400.0 4.61 28 152 72 106
1497992400.0 4.63 30 152 71 155
1497992400.0 4.64 31 152 75 100
1497992400.0 4.71 31 153 67 88
1497992400.0 4.72 29 152 64 97
1497992400.0 4.75 30 153 73 105
1497992400.0 4.76 59 182 82 136
1497992400.0 4.77 57 176 79 106
