Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1498424400.0 10003.0 NA 176 546 98 0 NA 450 712 151 0 NA 388 678 60 458 NA 268 627 99 480
1498424400.0 1002.0 NA 362 66 NA NA NA 469 131 NA NA NA 3186 198 NA NA NA 1386 89 NA NA
1498424400.0 10025.0 NA 173 563 98 0 NA 449 717 151 0 NA 390 695 66 461 NA 279 616 100 472
1498424400.0 1003.0 NA 293 0 NA NA NA 414 0 NA NA NA 4189 397 NA NA NA 1545 404 NA NA
1498424400.0 101.0 80 NA NA NA NA 164 NA NA NA NA 1193 NA NA NA NA 1205 NA NA NA NA
1498424400.0 1010.0 NA 21 70 0 NA NA 93 134 0 NA NA 14 93 28 NA NA 30 65 33 NA
1498424400.0 102.0 81 NA NA NA NA 165 NA NA NA NA 861 NA NA NA NA 871 NA NA NA NA
1498424400.0 1020.0 NA 36 NA NA NA NA 124 NA NA NA NA 53 NA NA NA NA 89 NA NA NA
1498424400.0 103.0 35 0 0 NA NA 96 0 0 NA NA 854 134 372 NA NA 474 117 369 NA NA
1498424400.0 105.0 81 80 25 NA NA 180 362 81 NA NA 4232 397 3 NA NA 1544 223 44 NA NA
1498424400.0 106.0 35 0 0 NA NA 96 0 0 NA NA 948 160 345 NA NA 515 93 377 NA NA
1498424400.0 10826.0 77 185 569 99 0 148 440 738 152 0 6373 533 1075 67 548 2158 387 691 100 557
1498424400.0 109.0 92 97 376 NA NA 192 363 484 NA NA 4127 312 486 NA NA 1592 164 354 NA NA
1498424400.0 110.0 53 80 353 NA NA 127 362 472 NA NA 1311 485 633 NA NA 593 213 568 NA NA
1498424400.0 120.0 53 87 358 NA NA 133 362 480 NA NA 1186 391 586 NA NA 550 178 540 NA NA
1498424400.0 123.1 368 NA NA NA NA 507 NA NA NA NA 1099 NA NA NA NA 515 NA NA NA NA
1498424400.0 123.2 371 NA NA NA NA 492 NA NA NA NA 1057 NA NA NA NA 488 NA NA NA NA
1498424400.0 123.3 277 NA NA NA NA 497 NA NA NA NA 760 NA NA NA NA 427 NA NA NA NA
1498424400.0 124.1 349 NA NA NA NA 498 NA NA NA NA 743 NA NA NA NA 423 NA NA NA NA
1498424400.0 124.2 365 NA NA NA NA 500 NA NA NA NA 1081 NA NA NA NA 507 NA NA NA NA
1498424400.0 124.4 348 NA NA NA NA 497 NA NA NA NA 814 NA NA NA NA 432 NA NA NA NA
1498424400.0 124.5 349 NA NA NA NA 497 NA NA NA NA 815 NA NA NA NA 444 NA NA NA NA
1498424400.0 124.6 277 NA NA NA NA 497 NA NA NA NA 793 NA NA NA NA 434 NA NA NA NA
1498424400.0 126.0 54 81 358 NA NA 136 376 468 NA NA 2002 431 593 NA NA 796 195 527 NA NA
1498424400.0 127.0 56 84 361 NA NA 136 362 459 NA NA 1741 500 546 NA NA 683 242 489 NA NA
1498424400.0 128.0 57 81 360 NA NA 118 362 482 NA NA 1020 393 595 NA NA 487 184 552 NA NA
1498424400.0 129.0 51 79 358 NA NA 118 363 473 NA NA 1162 467 554 NA NA 536 200 503 NA NA
1498424400.0 13.0 NA 89 369 0 NA NA 375 477 0 NA NA 493 1065 403 NA NA 273 620 410 NA
1498424400.0 130.0 53 81 357 NA NA 121 373 484 NA NA 1228 421 559 NA NA 556 200 504 NA NA
1498424400.0 1301.0 84 160 199 NA NA 158 462 293 NA NA 1432 468 342 NA NA 783 278 1244 NA NA
1498424400.0 1311.0 NA 207 546 0 73 NA 469 657 0 125 NA 386 593 773 47 NA 235 526 780 84
1498424400.0 132.0 84 98 375 NA NA 181 362 474 NA NA 3582 291 488 NA NA 1236 136 400 NA NA
1498424400.0 134.805 NA 40 430 0 NA NA 105 542 0 NA NA 130 4735 332 NA NA 175 1804 347 NA
1498424400.0 134.813 NA 180 74 0 NA NA 283 132 0 NA NA 874 169 168 NA NA 497 117 209 NA
1498424400.0 1343.0 NA 192 542 0 NA NA 471 668 0 NA NA 606 789 764 NA NA 423 551 831 NA
1498424400.0 135.13 451 0 NA NA NA 640 0 NA NA NA 1033 531 NA NA NA 547 541 NA NA NA
1498424400.0 135.2 295 0 99 NA NA 517 0 173 NA NA 979 157 176 NA NA 565 166 188 NA NA
1498424400.0 135.4 374 0 101 NA NA 518 0 174 NA NA 1221 220 204 NA NA 725 226 191 NA NA
1498424400.0 135.6 350 0 110 NA NA 518 0 179 NA NA 1334 207 201 NA NA 753 220 191 NA NA
1498424400.0 135.8 147 NA NA NA NA 250 NA NA NA NA 368 NA NA NA NA 265 NA NA NA NA
1498424400.0 136.721 NA 196 479 0 NA NA 318 585 0 NA NA 2133 4965 498 NA NA 797 1726 512 NA
1498424400.0 136.728 NA 294 499 0 NA NA 399 647 0 NA NA 9614 6420 478 NA NA 21720 2684 488 NA
1498424400.0 136.733 NA 184 76 0 NA NA 293 140 0 NA NA 1086 223 212 NA NA 625 145 220 NA
1498424400.0 136.737 NA 212 520 0 NA NA 340 674 0 NA NA 4602 9981 487 NA NA 1424 3141 508 NA
1498424400.0 136.738 NA 210 488 0 NA NA 334 626 0 NA NA 4330 9820 489 NA NA 1313 3062 500 NA
1498424400.0 136.741 NA 209 506 0 NA NA 348 627 0 NA NA 4967 10119 482 NA NA 1526 3388 505 NA
1498424400.0 136.749 NA 217 500 0 NA NA 355 630 0 NA NA 5491 13155 557 NA NA 2114 4105 576 NA
1498424400.0 136.75 NA 220 523 0 NA NA 351 685 0 NA NA 6306 11527 471 NA NA 1776 3526 483 NA
1498424400.0 136.752 NA 207 485 0 NA NA 336 619 0 NA NA 4531 9777 502 NA NA 1322 3176 573 NA
1498424400.0 136.755 NA 215 520 0 NA NA 341 668 0 NA NA 6701 11914 515 NA NA 2148 3590 526 NA
1498424400.0 136.758 NA 213 496 0 NA NA 344 643 0 NA NA 5141 11088 492 NA NA 1888 3222 499 NA
1498424400.0 136.76 NA 216 511 0 NA NA 375 658 0 NA NA 6494 14000 526 NA NA 2101 4103 561 NA
1498424400.0 136.761 NA 209 527 0 NA NA 358 704 0 NA NA 8197 18879 606 NA NA 2610 6309 619 NA
1498424400.0 136.762 NA 250 545 0 NA NA 396 708 0 NA NA 9049 22786 540 NA NA 3102 6973 555 NA
1498424400.0 136.764 NA 226 503 0 NA NA 356 658 0 NA NA 8805 15148 517 NA NA 2707 4426 531 NA
1498424400.0 136.766 NA 227 521 0 NA NA 355 692 0 NA NA 5743 13347 484 NA NA 1810 3812 495 NA
1498424400.0 136.775 NA 213 502 0 NA NA 331 610 0 NA NA 4092 9574 539 NA NA 1517 3157 562 NA
1498424400.0 1362.0 96 188 539 0 NA 230 463 661 0 NA 3935 531 709 762 NA 2441 595 699 774 NA
1498424400.0 1363.0 93 215 545 0 NA 234 462 667 0 NA 4359 507 722 733 NA 2358 307 541 753 NA
1498424400.0 13992501.0 NA 323 767 0 NA NA 524 992 0 NA NA 3523 3847 968 NA NA 2905 1957 11832 NA
1498424400.0 13992502.0 NA 319 797 0 NA NA 520 1000 0 NA NA 2365 2638 794 NA NA 2783 1464 812 NA
1498424400.0 140.1 NA 99 319 0 NA NA 392 447 0 NA NA 400 599 191 NA NA 246 596 197 NA
1498424400.0 140.2 NA 102 309 0 NA NA 391 433 0 NA NA 240 472 195 NA NA 180 466 208 NA
1498424400.0 140.51 NA 34 341 0 NA NA 102 469 0 NA NA 740 1639 285 NA NA 355 811 293 NA
1498424400.0 140.54 NA 332 0 NA NA NA 473 0 NA NA NA 1053 288 NA NA NA 972 314 NA NA
1498424400.0 144.6 NA 358 NA NA NA NA 465 NA NA NA NA 2330 NA NA NA NA 1096 NA NA NA
1498424400.0 19.0 NA 94 368 0 NA NA 375 486 0 NA NA 2002 1163 439 NA NA 593 760 446 NA
1498424400.0 200.0 NA 138 413 0 NA NA 385 529 0 NA NA 789 1237 466 NA NA 322 740 473 NA
1498424400.0 202.0 NA 133 423 0 NA NA 386 546 0 NA NA 840 1410 599 NA NA 480 863 612 NA
1498424400.0 21.0 NA 99 366 0 NA NA 386 489 0 NA NA 2580 1626 479 NA NA 796 887 486 NA
1498424400.0 23.0 NA 114 376 0 NA NA 375 482 0 NA NA 1499 1208 339 NA NA 463 558 349 NA
1498424400.0 23234.2 100 326 392 0 NA 168 403 531 0 NA 10934 2730 2693 521 NA 5322 1256 21394 643 NA
1498424400.0 24034.2 99 304 387 0 NA 164 381 532 0 NA 11074 2607 2731 530 NA 5278 1181 21409 652 NA
1498424400.0 250199.17 230 NA NA NA NA 422 NA NA NA NA 4983 NA NA NA NA 4104 NA NA NA NA
1498424400.0 250200.0 NA 399 642 0 NA NA 641 780 0 NA NA 9323 1995 805 NA NA 3172 1242 821 NA
1498424400.0 250200.117 68 324 232 NA NA 140 480 336 NA NA 5400 1665 1481 NA NA 1699 2278 672 NA NA
1498424400.0 250200.17 NA 357 655 0 NA NA 595 819 0 NA NA 10303 3607 886 NA NA 9194 1745 903 NA
1498424400.0 250202.0 NA 403 544 0 NA NA 651 819 0 NA NA 11032 2611 763 NA NA 3778 1831 774 NA
1498424400.0 250202.17 NA 360 647 0 NA NA 607 848 0 NA NA 11952 3839 990 NA NA 15063 1807 1000 NA
