Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1498510800.0 1000.0 NA 394 143 0 47 NA NA NA NA 528 239 0 107 NA NA NA NA 1729 419 382 90 NA NA NA NA 815 266 390 107 NA NA NA
1498510800.0 10001.0 NA 173 566 102 0 NA NA NA NA 463 749 153 0 NA NA NA NA 414 852 122 730 NA NA NA NA 273 740 144 744 NA NA NA
1498510800.0 10002.0 NA 177 567 100 0 NA NA NA NA 460 745 154 0 NA NA NA NA 509 852 128 724 NA NA NA NA 310 728 152 736 NA NA NA
1498510800.0 10003.0 NA 178 573 101 0 NA NA NA NA 461 738 154 0 NA NA NA NA 454 921 117 730 NA NA NA NA 295 738 130 739 NA NA NA
1498510800.0 10004.0 NA 172 568 101 0 NA NA NA NA 462 739 154 0 NA NA NA NA 423 819 121 778 NA NA NA NA 271 704 142 788 NA NA NA
1498510800.0 10005.0 NA 176 568 101 0 NA NA NA NA 462 741 154 0 NA NA NA NA 484 861 121 734 NA NA NA NA 300 737 138 744 NA NA NA
1498510800.0 10006.0 NA 173 565 101 0 NA NA NA NA 463 747 154 0 NA NA NA NA 425 828 120 728 NA NA NA NA 273 710 135 742 NA NA NA
1498510800.0 10007.0 NA 175 567 106 0 NA NA NA NA 463 729 165 0 NA NA NA NA 464 849 137 813 NA NA NA NA 295 694 163 826 NA NA NA
1498510800.0 10008.0 NA 181 564 111 0 NA NA NA NA 463 745 166 0 NA NA NA NA 565 873 126 739 NA NA NA NA 315 740 151 749 NA NA NA
1498510800.0 10009.0 NA 179 570 101 0 NA NA NA NA 464 729 165 0 NA NA NA NA 447 868 129 730 NA NA NA NA 275 727 148 739 NA NA NA
1498510800.0 1001.0 NA 366 372 0 0 0 0 0 NA 473 468 0 0 0 0 0 NA 1461 470 6 23 424 25 443 NA 669 387 11 26 427 26 442
1498510800.0 1002.0 NA 366 73 NA NA NA NA NA NA 476 132 NA NA NA NA NA NA 1663 138 NA NA NA NA NA NA 735 82 NA NA NA NA NA
1498510800.0 10023.0 NA 174 569 94 0 NA NA NA NA 461 738 154 0 NA NA NA NA 440 813 121 775 NA NA NA NA 280 697 151 794 NA NA NA
1498510800.0 10024.0 NA 196 584 110 0 NA NA NA NA 461 762 165 0 NA NA NA NA 473 1044 124 794 NA NA NA NA 273 770 146 812 NA NA NA
1498510800.0 10024.1 NA 189 373 0 NA NA NA NA NA 463 526 0 NA NA NA NA NA 606 432 371 NA NA NA NA NA 333 376 376 NA NA NA NA
1498510800.0 10024.2 NA 189 588 0 NA NA NA NA NA 463 737 0 NA NA NA NA NA 591 979 800 NA NA NA NA NA 319 722 811 NA NA NA NA
1498510800.0 10024.3 NA 197 326 0 NA NA NA NA NA 463 459 0 NA NA NA NA NA 622 419 307 NA NA NA NA NA 540 369 313 NA NA NA NA
1498510800.0 10024.4 NA 201 584 0 NA NA NA NA NA 461 743 0 NA NA NA NA NA 611 993 801 NA NA NA NA NA 524 735 815 NA NA NA NA
