Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1498424400.0 10.0 NA 110 378 0 NA NA NA NA 370 467 0 NA NA NA NA 1590 1553 350 NA NA NA NA 529 651 363 NA NA NA
1498424400.0 1000.0 NA 388 134 0 52 NA NA NA 496 198 0 89 NA NA NA 1530 396 366 89 NA NA NA 688 270 374 115 NA NA
1498424400.0 10001.0 NA 158 547 94 0 NA NA NA 442 703 133 0 NA NA NA 374 713 72 550 NA NA NA 310 975 375 573 NA NA
1498424400.0 10002.0 NA 168 554 96 0 NA NA NA 438 711 133 0 NA NA NA 368 636 61 492 NA NA NA 224 598 88 531 NA NA
1498424400.0 10005.0 NA 159 548 92 0 NA NA NA 439 693 133 0 NA NA NA 365 639 66 491 NA NA NA 235 885 105 507 NA NA
1498424400.0 10008.0 NA 168 547 95 0 NA NA NA 441 694 134 0 NA NA NA 418 681 78 476 NA NA NA 251 748 362 492 NA NA
1498424400.0 10009.0 NA 170 551 96 0 NA NA NA 434 708 134 0 NA NA NA 390 683 69 514 NA NA NA 247 629 102 524 NA NA
1498424400.0 1002.0 NA 364 64 NA NA NA NA NA 463 107 NA NA NA NA NA 2569 144 NA NA NA NA NA 1148 102 NA NA NA NA
1498424400.0 10024.1 NA 177 372 0 NA NA NA NA 441 494 0 NA NA NA NA 820 634 565 NA NA NA NA 517 540 572 NA NA NA
1498424400.0 10024.2 NA 178 566 0 NA NA NA NA 434 713 0 NA NA NA NA 421 785 552 NA NA NA NA 247 646 563 NA NA NA
1498424400.0 10024.3 NA 174 322 0 NA NA NA NA 435 455 0 NA NA NA NA 691 598 590 NA NA NA NA 345 496 601 NA NA NA
1498424400.0 10024.4 NA 180 579 0 NA NA NA NA 435 722 0 NA NA NA NA 424 809 529 NA NA NA NA 258 673 537 NA NA NA
1498424400.0 10024.5 NA 174 370 0 NA NA NA NA 442 498 0 NA NA NA NA 713 543 585 NA NA NA NA 364 464 591 NA NA NA
1498424400.0 10024.6 NA 189 560 0 NA NA NA NA 435 709 0 NA NA NA NA 409 767 520 NA NA NA NA 298 625 531 NA NA NA
1498424400.0 10025.0 NA 167 553 95 0 NA NA NA 440 708 134 0 NA NA NA 369 678 68 530 NA NA NA 224 619 100 553 NA NA
1498424400.0 10026.0 NA 193 577 96 0 NA NA NA 446 726 135 0 NA NA NA 478 1132 72 574 NA NA NA 262 978 99 590 NA NA
1498424400.0 1003.0 NA 296 0 NA NA NA NA NA 395 0 NA NA NA NA NA 3585 429 NA NA NA NA NA 1317 440 NA NA NA NA
1498424400.0 1004.0 NA 332 357 0 0 0 0 NA 424 432 0 0 0 0 NA 393 420 4 18 290 298 NA 310 326 8 22 296 308
1498424400.0 10042.0 NA 171 559 97 0 NA NA NA 441 698 135 0 NA NA NA 412 785 66 516 NA NA NA 258 663 101 525 NA NA
