Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1498165200.0 1.0 75 78 139 NA NA NA NA NA 145 364 218 NA NA NA NA NA 4509 587 410 NA NA NA NA NA 1690 267 396 NA NA NA NA NA
1498165200.0 10.0 NA 107 381 0 NA NA NA NA NA 378 480 0 NA NA NA NA NA 1620 1582 355 NA NA NA NA NA 539 653 371 NA NA NA NA
1498165200.0 1000.0 NA 393 131 0 52 NA NA NA NA 502 199 0 89 NA NA NA NA 1581 414 378 90 NA NA NA NA 694 283 388 134 NA NA NA
1498165200.0 10001.0 NA 171 545 88 0 NA NA NA NA 433 697 133 0 NA NA NA NA 486 781 80 512 NA NA NA NA 6852 2597 641 2872 NA NA NA
1498165200.0 10002.0 NA 167 544 93 0 NA NA NA NA 442 701 133 0 NA NA NA NA 672 1114 92 741 NA NA NA NA 336 3233 141 781 NA NA NA
1498165200.0 10003.0 NA 173 553 95 0 NA NA NA NA 442 700 133 0 NA NA NA NA 371 642 64 466 NA NA NA NA 232 590 93 473 NA NA NA
1498165200.0 10004.0 NA 169 549 96 0 NA NA NA NA 450 698 133 0 NA NA NA NA 336 591 66 479 NA NA NA NA 214 584 108 489 NA NA NA
1498165200.0 10005.0 NA 166 549 95 0 NA NA NA NA 449 698 133 0 NA NA NA NA 369 619 65 508 NA NA NA NA 237 653 119 538 NA NA NA
1498165200.0 10006.0 NA 166 548 96 0 NA NA NA NA 434 692 133 0 NA NA NA NA 331 631 61 481 NA NA NA NA 202 628 114 493 NA NA NA
1498165200.0 10007.0 NA 160 549 91 0 NA NA NA NA 434 703 134 0 NA NA NA NA 625 915 72 561 NA NA NA NA 360 861 203 4203 NA NA NA
1498165200.0 10008.0 NA 159 548 96 0 NA NA NA NA 441 701 134 0 NA NA NA NA 366 692 62 470 NA NA NA NA 224 657 138 480 NA NA NA
1498165200.0 10009.0 NA 169 555 96 0 NA NA NA NA 443 698 134 0 NA NA NA NA 362 678 61 518 NA NA NA NA 230 811 94 526 NA NA NA
1498165200.0 1001.0 NA 368 371 0 0 0 0 0 NA 466 449 0 0 0 0 0 NA 2099 459 4 30 305 24 337 NA 983 526 10 22 309 36 342
1498165200.0 1002.0 NA 367 70 NA NA NA NA NA NA 452 109 NA NA NA NA NA NA 1536 137 NA NA NA NA NA NA 694 79 NA NA NA NA NA
1498165200.0 10023.0 NA 163 542 94 0 NA NA NA NA 442 700 133 0 NA NA NA NA 618 1155 95 727 NA NA NA NA 319 3218 143 760 NA NA NA
1498165200.0 10024.0 NA 186 573 87 0 NA NA NA NA 442 719 134 0 NA NA NA NA 436 782 70 547 NA NA NA NA 274 665 108 1077 NA NA NA
1498165200.0 10024.1 NA 179 372 0 NA NA NA NA NA 441 506 0 NA NA NA NA NA 418 355 358 NA NA NA NA NA 236 318 364 NA NA NA NA
1498165200.0 10024.2 NA 177 559 0 NA NA NA NA NA 434 712 0 NA NA NA NA NA 423 818 517 NA NA NA NA NA 253 672 537 NA NA NA NA
1498165200.0 10024.3 NA 178 333 0 NA NA NA NA NA 446 459 0 NA NA NA NA NA 418 335 306 NA NA NA NA NA 238 306 311 NA NA NA NA
1498165200.0 10024.4 NA 186 569 0 NA NA NA NA NA 450 710 0 NA NA NA NA NA 403 820 555 NA NA NA NA NA 234 721 563 NA NA NA NA
1498165200.0 10024.5 NA 180 371 0 NA NA NA NA NA 442 503 0 NA NA NA NA NA 423 349 360 NA NA NA NA NA 245 318 369 NA NA NA NA
1498165200.0 10024.6 NA 185 563 0 NA NA NA NA NA 463 706 0 NA NA NA NA NA 411 774 532 NA NA NA NA NA 244 624 547 NA NA NA NA
1498165200.0 10025.0 NA 166 552 88 0 NA NA NA NA 438 701 133 0 NA NA NA NA 367 662 64 521 NA NA NA NA 225 611 105 531 NA NA NA
1498165200.0 10026.0 NA 186 578 97 0 NA NA NA NA 441 706 135 0 NA NA NA NA 495 1139 71 621 NA NA NA NA 287 772 108 641 NA NA NA
1498165200.0 1003.0 NA 300 0 NA NA NA NA NA NA 403 0 NA NA NA NA NA NA 4495 604 NA NA NA NA NA NA 1784 670 NA NA NA NA NA
1498165200.0 1004.0 NA 327 352 0 0 0 0 NA NA 433 432 0 0 0 0 NA NA 650 522 6 32 445 448 NA NA 535 535 14 36 463 457 NA
1498165200.0 10042.0 NA 178 555 89 0 NA NA NA NA 426 707 134 0 NA NA NA NA 806 1218 107 900 NA NA NA NA 448 1050 136 909 NA NA NA
1498165200.0 10059.0 NA 191 579 89 0 NA NA NA NA 439 721 135 0 NA NA NA NA 480 1169 65 550 NA NA NA NA 251 736 107 559 NA NA NA
1498165200.0 10071.0 NA 184 574 87 0 NA NA NA NA 441 715 135 0 NA NA NA NA 449 892 69 592 NA NA NA NA 260 657 115 605 NA NA NA
1498165200.0 101.0 82 NA NA NA NA NA NA NA 147 NA NA NA NA NA NA NA 1117 NA NA NA NA NA NA NA 1163 NA NA NA NA NA NA NA
1498165200.0 1010.0 NA 75 40 0 NA NA NA NA NA 135 75 0 NA NA NA NA NA 85 21 34 NA NA NA NA NA 149 63 117 NA NA NA NA
1498165200.0 102.0 84 NA NA NA NA NA NA NA 147 NA NA NA NA NA NA NA 787 NA NA NA NA NA NA NA 866 NA NA NA NA NA NA NA
1498165200.0 1020.0 NA 36 NA NA NA NA NA NA NA 114 NA NA NA NA NA NA NA 72 NA NA NA NA NA NA NA 81 NA NA NA NA NA NA
1498165200.0 10224.0 NA 284 820 0 NA NA NA NA NA 459 1004 0 NA NA NA NA NA 2250 3160 638 NA NA NA NA NA 1328 2007 666 NA NA NA NA
1498165200.0 10225.0 NA 293 774 0 NA NA NA NA NA 450 991 0 NA NA NA NA NA 2087 2552 637 NA NA NA NA NA 1983 1302 647 NA NA NA NA
1498165200.0 103.0 36 0 0 NA NA NA NA NA 81 0 0 NA NA NA NA NA 942 178 384 NA NA NA NA NA 484 99 387 NA NA NA NA NA
1498165200.0 10424.0 NA 176 566 0 NA NA NA NA NA 449 704 0 NA NA NA NA NA 432 812 513 NA NA NA NA NA 384 639 522 NA NA NA NA
1498165200.0 105.0 74 88 23 NA NA NA NA NA 151 365 63 NA NA NA NA NA 3670 434 2 NA NA NA NA NA 1527 192 6 NA NA NA NA NA
1498165200.0 106.0 35 0 0 NA NA NA NA NA 81 0 0 NA NA NA NA NA 961 177 370 NA NA NA NA NA 529 101 376 NA NA NA NA NA
1498165200.0 107.0 81 84 372 NA NA NA NA NA 161 377 454 NA NA NA NA NA 7127 523 732 NA NA NA NA NA 2331 238 637 NA NA NA NA NA
1498165200.0 108.0 84 87 375 NA NA NA NA NA 162 366 465 NA NA NA NA NA 7490 560 770 NA NA NA NA NA 2422 289 610 NA NA NA NA NA
1498165200.0 10823.0 75 167 558 94 0 NA NA NA 120 437 707 133 0 NA NA NA 1863 397 694 67 550 NA NA NA 829 244 664 99 574 NA NA NA
1498165200.0 10824.0 78 181 571 93 0 NA NA NA 131 435 722 135 0 NA NA NA 8027 824 1615 109 1275 NA NA NA 2488 391 1186 149 1405 NA NA NA
1498165200.0 10825.0 81 176 558 89 0 NA NA NA 126 434 710 134 0 NA NA NA 13004 417 920 80 568 NA NA NA 10980 229 2598 641 3369 NA NA NA
1498165200.0 10826.0 82 190 553 89 0 NA NA NA 133 433 715 135 0 NA NA NA 6433 488 1244 67 556 NA NA NA 2267 252 1308 126 591 NA NA NA
1498165200.0 10842.0 67 156 551 96 0 NA NA NA 108 434 696 134 0 NA NA NA 1191 377 646 65 534 NA NA NA 692 240 730 100 543 NA NA NA
1498165200.0 109.0 83 87 377 NA NA NA NA NA 161 366 463 NA NA NA NA NA 8404 476 669 NA NA NA NA NA 2949 324 553 NA NA NA NA NA
1498165200.0 11.0 NA 104 477 0 62 NA NA NA NA 378 585 0 98 NA NA NA NA 1332 781 368 19 NA NA NA NA 408 519 376 25 NA NA NA
1498165200.0 110.0 58 83 363 NA NA NA NA NA 110 365 448 NA NA NA NA NA 781 257 364 NA NA NA NA NA 377 117 334 NA NA NA NA NA
1498165200.0 1102.0 NA 101 382 125 61 NA NA NA NA 377 476 193 118 NA NA NA NA 2301 3118 1873 170 NA NA NA NA 708 1282 687 147 NA NA NA
1498165200.0 111.0 91 87 373 NA NA NA NA NA 150 365 480 NA NA NA NA NA 2156 225 417 NA NA NA NA NA 905 121 450 NA NA NA NA NA
1498165200.0 112.0 81 85 367 NA NA NA NA NA 159 366 477 NA NA NA NA NA 5670 478 727 NA NA NA NA NA 1735 255 673 NA NA NA NA NA
1498165200.0 11224.0 86 183 567 0 NA NA NA NA 131 432 718 0 NA NA NA NA 14174 835 995 992 NA NA NA NA 11384 684 2988 14021 NA NA NA NA
1498165200.0 113.0 80 82 370 NA NA NA NA NA 153 358 477 NA NA NA NA NA 5770 605 620 NA NA NA NA NA 2027 281 539 NA NA NA NA NA
1498165200.0 114.0 80 81 372 NA NA NA NA NA 162 366 466 NA NA NA NA NA 6478 533 571 NA NA NA NA NA 1989 251 490 NA NA NA NA NA
1498165200.0 115.0 81 91 371 NA NA NA NA NA 161 365 485 NA NA NA NA NA 6113 543 766 NA NA NA NA NA 2001 273 646 NA NA NA NA NA
1498165200.0 116.0 79 82 371 NA NA NA NA NA 155 358 464 NA NA NA NA NA 7287 450 529 NA NA NA NA NA 2709 230 477 NA NA NA NA NA
1498165200.0 117.0 81 92 372 NA NA NA NA NA 165 365 474 NA NA NA NA NA 6738 471 803 NA NA NA NA NA 2166 212 681 NA NA NA NA NA
1498165200.0 118.0 80 86 372 NA NA NA NA NA 173 366 478 NA NA NA NA NA 6994 486 668 NA NA NA NA NA 2394 281 561 NA NA NA NA NA
1498165200.0 119.0 81 94 370 NA NA NA NA NA 159 365 473 NA NA NA NA NA 2835 286 441 NA NA NA NA NA 940 137 482 NA NA NA NA NA
1498165200.0 12.0 NA 100 379 0 NA NA NA NA NA 378 466 0 NA NA NA NA NA 1470 1561 373 NA NA NA NA NA 456 677 390 NA NA NA NA
1498165200.0 120.0 57 80 359 NA NA NA NA NA 114 365 462 NA NA NA NA NA 1192 552 761 NA NA NA NA NA 566 248 736 NA NA NA NA NA
1498165200.0 121.0 80 89 373 NA NA NA NA NA 157 365 470 NA NA NA NA NA 6254 379 841 NA NA NA NA NA 2332 192 730 NA NA NA NA NA
1498165200.0 122.0 52 83 366 NA NA NA NA NA 94 365 445 NA NA NA NA NA 611 139 301 NA NA NA NA NA 352 85 294 NA NA NA NA NA
1498165200.0 123.1 339 NA NA NA NA NA NA NA 495 NA NA NA NA NA NA NA 1011 NA NA NA NA NA NA NA 493 NA NA NA NA NA NA NA
1498165200.0 123.2 337 NA NA NA NA NA NA NA 502 NA NA NA NA NA NA NA 1139 NA NA NA NA NA NA NA 557 NA NA NA NA NA NA NA
1498165200.0 123.3 275 NA NA NA NA NA NA NA 494 NA NA NA NA NA NA NA 527 NA NA NA NA NA NA NA 443 NA NA NA NA NA NA NA
1498165200.0 124.1 321 NA NA NA NA NA NA NA 494 NA NA NA NA NA NA NA 615 NA NA NA NA NA NA NA 363 NA NA NA NA NA NA NA
1498165200.0 124.2 334 NA NA NA NA NA NA NA 495 NA NA NA NA NA NA NA 1009 NA NA NA NA NA NA NA 487 NA NA NA NA NA NA NA
1498165200.0 124.4 325 NA NA NA NA NA NA NA 494 NA NA NA NA NA NA NA 601 NA NA NA NA NA NA NA 492 NA NA NA NA NA NA NA
1498165200.0 124.5 319 NA NA NA NA NA NA NA 494 NA NA NA NA NA NA NA 586 NA NA NA NA NA NA NA 404 NA NA NA NA NA NA NA
1498165200.0 124.6 280 NA NA NA NA NA NA NA 495 NA NA NA NA NA NA NA 557 NA NA NA NA NA NA NA 457 NA NA NA NA NA NA NA
1498165200.0 125.0 79 81 368 NA NA NA NA NA 153 358 464 NA NA NA NA NA 6074 449 694 NA NA NA NA NA 1984 206 693 NA NA NA NA NA
1498165200.0 126.0 60 87 364 NA NA NA NA NA 117 358 457 NA NA NA NA NA 1193 242 351 NA NA NA NA NA 490 117 316 NA NA NA NA NA
1498165200.0 127.0 59 79 366 NA NA NA NA NA 116 358 446 NA NA NA NA NA 1093 243 368 NA NA NA NA NA 463 117 345 NA NA NA NA NA
1498165200.0 128.0 54 88 362 NA NA NA NA NA 104 366 465 NA NA NA NA NA 1106 531 746 NA NA NA NA NA 519 251 716 NA NA NA NA NA
1498165200.0 129.0 55 85 368 NA NA NA NA NA 105 366 468 NA NA NA NA NA 1237 538 797 NA NA NA NA NA 592 238 818 NA NA NA NA NA
1498165200.0 13.0 NA 90 376 0 NA NA NA NA NA 370 474 0 NA NA NA NA NA 476 1358 562 NA NA NA NA NA 290 806 580 NA NA NA NA
1498165200.0 130.0 58 85 364 NA NA NA NA NA 106 365 471 NA NA NA NA NA 711 236 352 NA NA NA NA NA 330 116 333 NA NA NA NA NA
1498165200.0 1301.0 82 171 199 NA NA NA NA NA 134 457 279 NA NA NA NA NA 1442 436 336 NA NA NA NA NA 658 281 306 NA NA NA NA NA
1498165200.0 1302.0 90 183 194 NA NA NA NA NA 146 466 278 NA NA NA NA NA 6150 982 721 NA NA NA NA NA 2400 521 561 NA NA NA NA NA
1498165200.0 1303.0 92 186 219 NA NA NA NA NA 144 456 295 NA NA NA NA NA 6728 533 564 NA NA NA NA NA 2423 321 376 NA NA NA NA NA
1498165200.0 1306.0 NA 193 533 0 NA NA NA NA NA 469 630 0 NA NA NA NA NA 807 1049 1265 NA NA NA NA NA 519 861 1274 NA NA NA NA
1498165200.0 1307.0 NA 158 205 54 0 NA NA NA NA 465 276 93 0 NA NA NA NA 635 561 55 343 NA NA NA NA 400 791 86 361 NA NA NA
