Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1498510800.0 10024.1 NA 206 373 0 NA 459 501 0 NA 695 660 606 NA 429 599 616
1498510800.0 10024.3 NA 202 329 0 NA 462 449 0 NA 813 572 511 NA 549 537 522
1498510800.0 10024.4 NA 206 595 0 NA 459 745 0 NA 814 1463 1278 NA 546 1329 1300
1498510800.0 10024.5 NA 203 378 0 NA 468 500 0 NA 823 607 600 NA 547 541 610
1498510800.0 13992501.0 NA 211 694 0 NA 395 938 0 NA 1669 2444 400 NA 1419 1653 415
1498510800.0 13992502.0 NA 218 644 0 NA 406 985 0 NA 1959 2646 407 NA 1246 1509 417
1498510800.0 27034.0 96 302 407 0 136 368 496 0 9845 2201 972 538 4064 1030 809 550
1498510800.0 27034.2 112 310 415 0 157 376 502 0 9361 2200 999 523 3939 1071 816 539
1498510800.0 27434.0 95 307 407 0 137 364 497 0 9205 2112 961 529 4242 1098 812 537
1498510800.0 500200.1 93 173 220 NA 143 396 294 NA 2978 481 873 NA 1106 352 409 NA
1498510800.0 500202.0 NA 192 482 0 NA 391 573 0 NA 3450 1475 318 NA 1470 664 330
1498510800.0 500203.0 NA 186 466 0 NA 399 562 0 NA 3186 1239 307 NA 1417 609 319
1498510800.0 500204.0 NA 196 465 0 NA 399 567 0 NA 3240 1177 315 NA 1371 598 323
1498510800.0 500205.0 NA 188 471 0 NA 392 576 0 NA 3200 1230 326 NA 1376 592 336
1498510800.0 500206.0 NA 181 467 0 NA 402 560 0 NA 3293 1259 321 NA 1449 625 341
1498510800.0 500207.0 NA 186 454 0 NA 398 556 0 NA 2896 1358 305 NA 1451 985 322
1498510800.0 528.0 0 NA NA NA 0 NA NA NA 325 NA NA NA 441 NA NA NA
1498510800.0 531.0 67 0 NA NA 186 0 NA NA 40 14 NA NA 314 42 NA NA
1498510800.0 541.0 49 0 NA NA 86 0 NA NA 44 15 NA NA 314 31 NA NA
1498510800.0 545.0 48 0 NA NA 86 0 NA NA 38 14 NA NA 314 42 NA NA
1498510800.0 551.0 15 36 0 NA 138 78 0 NA 815 49 13 NA 770 102 35 NA
1498510800.0 555.0 15 34 0 NA 138 78 0 NA 667 33 14 NA 768 95 41 NA
