Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1498078800.0 1.0 89 125 NA NA NA NA NA 182 499 NA NA NA NA NA 2135 401 NA NA NA NA NA 940 171 NA NA NA NA NA
1498078800.0 10.0 NA 181 NA NA NA NA NA NA 518 NA NA NA NA NA NA 1527 NA NA NA NA NA NA 494 NA NA NA NA NA
1498078800.0 10001.0 NA 186 NA NA NA NA NA NA 592 NA NA NA NA NA NA 908 NA NA NA NA NA NA 525 NA NA NA NA NA
1498078800.0 10002.0 NA 168 NA NA NA NA NA NA 590 NA NA NA NA NA NA 1033 NA NA NA NA NA NA 585 NA NA NA NA NA
1498078800.0 10003.0 NA 167 NA NA NA NA NA NA 599 NA NA NA NA NA NA 1094 NA NA NA NA NA NA 622 NA NA NA NA NA
1498078800.0 10004.0 NA 190 NA NA NA NA NA NA 625 NA NA NA NA NA NA 1040 NA NA NA NA NA NA 635 NA NA NA NA NA
1498078800.0 10005.0 NA 173 NA NA NA NA NA NA 594 NA NA NA NA NA NA 951 NA NA NA NA NA NA 514 NA NA NA NA NA
1498078800.0 10006.0 NA 175 NA NA NA NA NA NA 605 NA NA NA NA NA NA 992 NA NA NA NA NA NA 543 NA NA NA NA NA
1498078800.0 10007.0 NA 258 NA NA NA NA NA NA 627 NA NA NA NA NA NA 1071 NA NA NA NA NA NA 651 NA NA NA NA NA
1498078800.0 10008.0 NA 168 NA NA NA NA NA NA 605 NA NA NA NA NA NA 912 NA NA NA NA NA NA 534 NA NA NA NA NA
