Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1497819600.0 1.0 49 63 119 NA NA NA NA NA 93 98 161 NA NA NA NA NA 3351 479 464 NA NA NA NA NA 3648 540 478 NA NA NA NA NA
1497819600.0 10.0 NA 85 206 0 NA NA NA NA NA 155 245 0 NA NA NA NA NA 4645 4730 972 NA NA NA NA NA 4990 5194 1056 NA NA NA NA
1497819600.0 1000.0 NA 231 147 0 60 NA NA NA NA 305 209 0 80 NA NA NA NA 4716 956 1209 227 NA NA NA NA 5128 1113 1276 272 NA NA NA
1497819600.0 10001.0 NA 145 282 82 0 NA NA NA NA 213 321 106 0 NA NA NA NA 804 1254 166 1565 NA NA NA NA 950 1494 264 1666 NA NA NA
1497819600.0 10002.0 NA 147 282 88 0 NA NA NA NA 214 321 106 0 NA NA NA NA 832 1316 165 1545 NA NA NA NA 990 1519 280 1686 NA NA NA
1497819600.0 10003.0 NA 158 292 86 0 NA NA NA NA 215 322 106 0 NA NA NA NA 847 1330 168 1592 NA NA NA NA 1005 1580 254 1747 NA NA NA
1497819600.0 10004.0 NA 150 283 78 0 NA NA NA NA 212 321 106 0 NA NA NA NA 776 1208 168 1547 NA NA NA NA 912 1378 253 1694 NA NA NA
1497819600.0 10005.0 NA 145 283 84 0 NA NA NA NA 213 321 106 0 NA NA NA NA 816 1268 166 1558 NA NA NA NA 948 1472 247 1690 NA NA NA
1497819600.0 10006.0 NA 143 284 76 0 NA NA NA NA 213 320 106 0 NA NA NA NA 779 1215 161 1564 NA NA NA NA 917 1366 230 1680 NA NA NA
1497819600.0 10007.0 NA 154 286 74 0 NA NA NA NA 213 322 106 0 NA NA NA NA 869 1368 169 1624 NA NA NA NA 1047 1591 269 1761 NA NA NA
1497819600.0 10008.0 NA 148 283 79 0 NA NA NA NA 213 322 106 0 NA NA NA NA 888 1371 170 1568 NA NA NA NA 1052 1569 261 1683 NA NA NA
1497819600.0 10009.0 NA 147 286 74 0 NA NA NA NA 214 322 106 0 NA NA NA NA 909 1407 168 1596 NA NA NA NA 1065 1591 258 1689 NA NA NA
1497819600.0 1001.0 NA 209 166 0 0 0 0 0 NA 282 183 0 0 0 0 0 NA 4187 495 10 104 1168 44 1145 NA 4693 562 15 118 1210 54 1231
