Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1498424400.0 105.0 48 75 31 NA NA 93 99 54 NA NA 3266 485 6 NA NA 3818 503 12 NA NA
1498424400.0 128.0 45 65 185 NA NA 82 100 230 NA NA 787 478 720 NA NA 816 496 823 NA NA
1498424400.0 129.0 47 69 186 NA NA 82 99 230 NA NA 826 395 695 NA NA 1191 516 730 NA NA
1498424400.0 130.0 45 65 184 NA NA 87 99 230 NA NA 991 458 712 NA NA 1007 480 762 NA NA
1498424400.0 134.813 NA 123 62 0 NA NA 196 89 0 NA NA 1098 121 281 NA NA 1346 169 295 NA
1498424400.0 140.1 NA 89 179 0 NA NA 160 217 0 NA NA 352 623 342 NA NA 656 824 352 NA
1498424400.0 140.2 NA 89 178 0 NA NA 159 216 0 NA NA 300 612 341 NA NA 572 812 353 NA
1498424400.0 4.22 NA 122 56 62 0 NA 196 89 130 0 NA 1342 112 174 278 NA 1682 132 192 289
1498424400.0 4008.0 49 76 193 NA NA 91 149 277 NA NA 1285 308 699 NA NA 1770 323 733 NA NA
1498424400.0 513.0 0 NA NA NA NA 0 NA NA NA NA 443 NA NA NA NA 600 NA NA NA NA
1498424400.0 518.0 0 NA NA NA NA 0 NA NA NA NA 1436 NA NA NA NA 3691 NA NA NA NA
1498424400.0 528.0 0 NA NA NA NA 0 NA NA NA NA 446 NA NA NA NA 560 NA NA NA NA
1498424400.0 7.0 45 66 107 47 0 80 98 141 79 0 1033 372 451 61 257 1447 490 472 71 268
