Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1498467600.0 1.0 48 64 119 NA NA NA NA 93 98 162 NA NA NA NA 3276 540 481 NA NA NA NA 3459 571 534 NA NA NA NA
1498467600.0 10004.0 NA 136 269 68 0 NA NA NA 209 313 104 0 NA NA NA 625 1078 157 1439 NA NA NA 799 1292 274 1522 NA NA
1498467600.0 1002.0 NA 211 58 NA NA NA NA NA 291 93 NA NA NA NA NA 3935 262 NA NA NA NA NA 4183 284 NA NA NA NA
1498467600.0 10023.0 NA 133 268 69 0 NA NA NA 210 314 104 0 NA NA NA 653 1213 159 1478 NA NA NA 879 1422 265 1547 NA NA
1498467600.0 10024.0 NA 152 273 70 0 NA NA NA 218 320 104 0 NA NA NA 806 1620 171 1599 NA NA NA 993 1959 420 1803 NA NA
1498467600.0 10024.1 NA 141 178 0 NA NA NA NA 218 214 0 NA NA NA NA 865 981 990 NA NA NA NA 1022 1781 1073 NA NA NA
1498467600.0 10024.3 NA 147 169 0 NA NA NA NA 218 203 0 NA NA NA NA 873 770 803 NA NA NA NA 1087 1114 867 NA NA NA
1498467600.0 10024.5 NA 142 179 0 NA NA NA NA 218 214 0 NA NA NA NA 859 849 1004 NA NA NA NA 1029 1182 1086 NA NA NA
1498467600.0 10025.0 NA 136 268 77 0 NA NA NA 213 316 104 0 NA NA NA 712 1382 165 1521 NA NA NA 898 1644 352 1615 NA NA
1498467600.0 1003.0 NA 184 0 NA NA NA NA NA 264 0 NA NA NA NA NA 5456 854 NA NA NA NA NA 5771 967 NA NA NA NA
1498467600.0 1004.0 NA 171 145 0 0 0 0 NA 249 164 0 0 0 0 NA 802 445 10 98 772 754 NA 947 506 20 118 903 886
1498467600.0 10042.0 NA 154 277 74 0 NA NA NA 218 319 104 0 NA NA NA 765 1537 168 1530 NA NA NA 907 2179 332 1643 NA NA
1498467600.0 10071.0 NA 142 272 71 0 NA NA NA 220 322 104 0 NA NA NA 926 1995 176 1651 NA NA NA 1255 2420 345 1751 NA NA
1498467600.0 10826.0 63 144 275 69 0 NA NA 102 177 323 104 0 NA NA 14725 997 2505 170 1630 NA NA 15994 1209 2988 359 1839 NA NA
1498467600.0 11.0 NA 77 225 0 54 NA NA NA 150 262 0 86 NA NA NA 2481 1719 1025 50 NA NA NA 2563 2046 1167 75 NA NA
1498467600.0 111.0 51 75 190 NA NA NA NA 94 102 233 NA NA NA NA 3320 383 796 NA NA NA NA 3560 443 914 NA NA NA NA
1498467600.0 114.0 54 82 191 NA NA NA NA 95 103 234 NA NA NA NA 6981 541 861 NA NA NA NA 7676 656 946 NA NA NA NA
1498467600.0 12.0 NA 78 203 0 NA NA NA NA 151 238 0 NA NA NA NA 2971 3742 894 NA NA NA NA 3186 4200 970 NA NA NA
1498467600.0 125.0 51 67 189 NA NA NA NA 94 102 233 NA NA NA NA 6099 492 820 NA NA NA NA 6369 538 898 NA NA NA NA
1498467600.0 126.0 45 66 187 NA NA NA NA 87 99 231 NA NA NA NA 2107 413 753 NA NA NA NA 2239 466 886 NA NA NA NA
1498467600.0 127.0 47 64 187 NA NA NA NA 87 99 230 NA NA NA NA 2018 463 652 NA NA NA NA 2135 506 676 NA NA NA NA
1498467600.0 1301.0 57 136 166 NA NA NA NA 95 168 211 NA NA NA NA 1548 918 782 NA NA NA NA 2177 1614 1059 NA NA NA NA
1498467600.0 1306.0 NA 150 254 0 NA NA NA NA 225 304 0 NA NA NA NA 719 1042 2365 NA NA NA NA 897 1292 2497 NA NA NA
1498467600.0 1307.0 NA 135 137 53 0 NA NA NA 208 169 76 0 NA NA NA 818 720 65 798 NA NA NA 1049 1056 86 852 NA NA
1498467600.0 1308.0 NA 136 134 53 0 NA NA NA 208 166 76 0 NA NA NA 730 574 66 792 NA NA NA 906 815 80 841 NA NA
1498467600.0 131.0 45 67 185 NA NA NA NA 84 100 231 NA NA NA NA 2154 473 721 NA NA NA NA 2332 509 806 NA NA NA NA
1498467600.0 1315.0 NA 146 257 0 NA NA NA NA 226 305 0 NA NA NA NA 770 1107 2336 NA NA NA NA 998 1371 2497 NA NA NA
1498467600.0 1316.0 NA 147 257 0 NA NA NA NA 227 305 0 NA NA NA NA 796 1163 2353 NA NA NA NA 992 1393 2511 NA NA NA
1498467600.0 1317.0 NA 153 256 0 NA NA NA NA 227 305 0 NA NA NA NA 768 1152 2378 NA NA NA NA 966 1479 2652 NA NA NA
1498467600.0 1318.0 NA 145 256 0 NA NA NA NA 225 304 0 NA NA NA NA 736 1097 2308 NA NA NA NA 914 1344 2458 NA NA NA
1498467600.0 1319.0 NA 147 259 0 NA NA NA NA 226 305 0 NA NA NA NA 748 1065 2347 NA NA NA NA 920 1281 2515 NA NA NA
1498467600.0 132.0 49 76 190 NA NA NA NA 92 102 233 NA NA NA NA 4670 506 884 NA NA NA NA 5028 601 1058 NA NA NA NA
1498467600.0 1323.0 NA 147 252 0 NA NA NA NA 225 302 0 NA NA NA NA 735 1015 2366 NA NA NA NA 977 1221 2528 NA NA NA
1498467600.0 1324.0 NA 175 268 0 NA NA NA NA 238 311 0 NA NA NA NA 969 1497 2441 NA NA NA NA 1179 1919 2583 NA NA NA
1498467600.0 1325.1 NA 158 161 0 NA NA NA NA 238 193 0 NA NA NA NA 1164 747 839 NA NA NA NA 1781 1057 916 NA NA NA
1498467600.0 1325.3 NA 165 153 0 NA NA NA NA 238 188 0 NA NA NA NA 1182 735 800 NA NA NA NA 1370 974 845 NA NA NA
1498467600.0 1325.4 NA 173 270 0 NA NA NA NA 238 312 0 NA NA NA NA 1098 1687 2479 NA NA NA NA 1322 2312 2637 NA NA NA
1498467600.0 1327.0 NA 159 264 0 NA NA NA NA 238 310 0 NA NA NA NA 902 1289 2479 NA NA NA NA 1052 1549 2645 NA NA NA
