Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1498510800.0 250399.0 119 NA NA 193 NA NA 1426 NA NA 5201 NA NA
1498510800.0 250400.0 215 0 101 283 0 136 1421 323 432 1590 363 577
1498510800.0 250402.0 217 0 101 284 0 136 1672 344 495 1819 381 603
1498510800.0 250403.0 215 0 101 283 0 136 1423 316 451 1558 361 571
1498510800.0 250405.0 216 0 105 283 0 136 1429 319 440 1602 358 560
1498510800.0 250406.0 211 0 99 279 0 135 1047 303 350 1282 366 455
1498510800.0 250407.0 203 0 100 267 0 137 1129 229 394 1293 266 498
1498510800.0 250408.0 215 0 100 283 0 136 1595 348 484 1847 377 562
1498510800.0 250409.0 219 0 103 290 0 137 2460 384 668 2676 422 708
1498510800.0 25206.0 NA 86 NA NA 161 NA NA 365 NA NA 1878 NA
1498510800.0 500199.0 117 NA NA 197 NA NA 4756 NA NA 5190 NA NA
