Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1497085200.0 1.0 83 105 166 NA NA NA NA NA 184 134 211 NA NA NA NA NA 3937 805 502 NA NA NA NA NA 2426 892 1358 NA NA NA NA NA
1497085200.0 10.0 NA 114 373 0 NA NA NA NA NA 198 439 0 NA NA NA NA NA 3671 4349 1062 NA NA NA NA NA 3370 2559 1230 NA NA NA NA
1497085200.0 1000.0 NA 388 140 0 58 NA NA NA NA 493 242 0 106 NA NA NA NA 4643 1089 1605 246 NA NA NA NA 3195 678 1719 237 NA NA NA
1497085200.0 10001.0 NA 165 548 87 0 NA NA NA NA 266 617 138 0 NA NA NA NA 967 2394 177 2164 NA NA NA NA 676 3337 566 2254 NA NA NA
1497085200.0 10002.0 NA 170 550 93 0 NA NA NA NA 261 620 131 0 NA NA NA NA 908 2183 172 2226 NA NA NA NA 635 2704 298 2464 NA NA NA
1497085200.0 10003.0 NA 168 548 87 0 NA NA NA NA 270 614 147 0 NA NA NA NA 965 2398 185 2220 NA NA NA NA 666 3027 427 2613 NA NA NA
1497085200.0 10004.0 NA 168 548 86 0 NA NA NA NA 261 615 138 0 NA NA NA NA 860 2068 171 2185 NA NA NA NA 753 3487 482 2324 NA NA NA
1497085200.0 10005.0 NA 191 566 105 0 NA NA NA NA 263 624 141 0 NA NA NA NA 1049 2516 172 2573 NA NA NA NA 1125 3490 390 3924 NA NA NA
1497085200.0 10006.0 NA 167 548 87 0 NA NA NA NA 258 614 135 0 NA NA NA NA 942 1989 165 2258 NA NA NA NA 697 2325 334 2690 NA NA NA
1497085200.0 10007.0 NA 167 548 88 0 NA NA NA NA 262 612 139 0 NA NA NA NA 905 2317 168 2271 NA NA NA NA 548 3026 367 2362 NA NA NA
1497085200.0 10008.0 NA 167 553 87 0 NA NA NA NA 264 623 139 0 NA NA NA NA 925 2369 168 2210 NA NA NA NA 700 2947 366 2348 NA NA NA
1497085200.0 10009.0 NA 190 569 94 0 NA NA NA NA 264 624 140 0 NA NA NA NA 1193 2627 175 2642 NA NA NA NA 1095 5295 345 3730 NA NA NA
1497085200.0 1001.0 NA 385 382 0 0 0 0 0 NA 468 420 0 0 0 0 0 NA 4636 1067 13 81 1147 45 1174 NA 3069 1130 28 95 1487 75 1880
1497085200.0 1002.0 NA 366 66 NA NA NA NA NA NA 460 122 NA NA NA NA NA NA 4442 316 NA NA NA NA NA NA 4916 390 NA NA NA NA NA
1497085200.0 10023.0 NA 171 544 100 0 NA NA NA NA 254 610 132 0 NA NA NA NA 842 2427 159 2285 NA NA NA NA 722 3395 299 3644 NA NA NA
1497085200.0 10024.0 NA 185 567 89 0 NA NA NA NA 282 641 133 0 NA NA NA NA 1194 2935 175 2204 NA NA NA NA 935 2831 444 2224 NA NA NA
1497085200.0 10024.1 NA 182 358 0 NA NA NA NA NA 278 415 0 NA NA NA NA NA 1226 1122 1011 NA NA NA NA NA 1342 913 1026 NA NA NA NA
1497085200.0 10024.2 NA 181 560 0 NA NA NA NA NA 277 632 0 NA NA NA NA NA 1249 2925 2326 NA NA NA NA NA 851 2983 2771 NA NA NA NA
1497085200.0 10024.3 NA 187 319 0 NA NA NA NA NA 285 373 0 NA NA NA NA NA 1114 1038 781 NA NA NA NA NA 829 863 788 NA NA NA NA
1497085200.0 10024.4 NA 187 563 0 NA NA NA NA NA 279 638 0 NA NA NA NA NA 1211 2925 2389 NA NA NA NA NA 636 3099 2649 NA NA NA NA
1497085200.0 10024.5 NA 187 360 0 NA NA NA NA NA 275 412 0 NA NA NA NA NA 1193 1169 962 NA NA NA NA NA 1074 1444 1069 NA NA NA NA
1497085200.0 10024.6 NA 187 556 0 NA NA NA NA NA 281 630 0 NA NA NA NA NA 1139 2834 2177 NA NA NA NA NA 867 3044 2258 NA NA NA NA
1497085200.0 10025.0 NA 178 551 87 0 NA NA NA NA 279 645 138 0 NA NA NA NA 1119 2386 173 2374 NA NA NA NA 757 2701 509 2808 NA NA NA
1497085200.0 10026.0 NA 191 570 88 0 NA NA NA NA 285 642 133 0 NA NA NA NA 1271 3165 174 2361 NA NA NA NA 922 3918 378 2505 NA NA NA
1497085200.0 1003.0 NA 302 0 NA NA NA NA NA NA 400 0 NA NA NA NA NA NA 5840 983 NA NA NA NA NA NA 2560 1392 NA NA NA NA NA
1497085200.0 1004.0 NA 329 352 0 0 0 0 NA NA 421 409 0 0 0 0 NA NA 1239 731 14 58 862 771 NA NA 1417 1258 50 170 2021 1793 NA
1497085200.0 10042.0 NA 175 550 88 0 NA NA NA NA 278 637 136 0 NA NA NA NA 984 2318 180 2286 NA NA NA NA 743 2356 644 2613 NA NA NA
1497085200.0 10059.0 NA 183 567 96 0 NA NA NA NA 278 643 135 0 NA NA NA NA 1378 5094 175 2448 NA NA NA NA 839 4235 274 2551 NA NA NA
1497085200.0 10071.0 NA 186 570 88 0 NA NA NA NA 281 640 138 0 NA NA NA NA 1152 3817 169 2411 NA NA NA NA 1172 4843 336 3981 NA NA NA
1497085200.0 101.0 92 NA NA NA NA NA NA NA 143 NA NA NA NA NA NA NA 2177 NA NA NA NA NA NA NA 2660 NA NA NA NA NA NA NA
1497085200.0 1010.0 NA 89 53 0 NA NA NA NA NA 160 96 0 NA NA NA NA NA 206 54 73 NA NA NA NA NA 532 871 193 NA NA NA NA
1497085200.0 102.0 96 NA NA NA NA NA NA NA 144 NA NA NA NA NA NA NA 1550 NA NA NA NA NA NA NA 2529 NA NA NA NA NA NA NA
1497085200.0 1020.0 NA 45 NA NA NA NA NA NA NA 134 NA NA NA NA NA NA NA 91 NA NA NA NA NA NA NA 136 NA NA NA NA NA NA
1497085200.0 10224.0 NA 342 837 0 NA NA NA NA NA 454 948 0 NA NA NA NA NA 6377 10226 2483 NA NA NA NA NA 7418 16029 2612 NA NA NA NA
1497085200.0 10225.0 NA 326 859 0 NA NA NA NA NA 456 976 0 NA NA NA NA NA 5798 8792 2380 NA NA NA NA NA 7359 15384 2449 NA NA NA NA
1497085200.0 103.0 45 0 0 NA NA NA NA NA 104 0 0 NA NA NA NA NA 1590 219 709 NA NA NA NA NA 2161 391 1121 NA NA NA NA NA
1497085200.0 10424.0 NA 179 569 0 NA NA NA NA NA 270 631 0 NA NA NA NA NA 1234 2999 2303 NA NA NA NA NA 739 3072 2489 NA NA NA NA
1497085200.0 105.0 83 105 42 NA NA NA NA NA 178 136 86 NA NA NA NA NA 3993 718 7 NA NA NA NA NA 2322 444 14 NA NA NA NA NA
1497085200.0 106.0 41 0 0 NA NA NA NA NA 102 0 0 NA NA NA NA NA 1473 203 647 NA NA NA NA NA 907 99 658 NA NA NA NA NA
1497085200.0 107.0 86 104 371 NA NA NA NA NA 187 141 424 NA NA NA NA NA 9003 831 1399 NA NA NA NA NA 5260 776 1316 NA NA NA NA NA
1497085200.0 108.0 92 102 387 NA NA NA NA NA 180 150 443 NA NA NA NA NA 11307 862 1632 NA NA NA NA NA 6951 582 2212 NA NA NA NA NA
1497085200.0 10823.0 72 177 549 92 0 NA NA NA 134 229 615 138 0 NA NA NA 3823 1014 2443 203 2217 NA NA NA 1966 1758 3179 9015 2337 NA NA NA
1497085200.0 10824.0 94 192 590 107 0 NA NA NA 145 245 643 137 0 NA NA NA 15322 1490 3564 178 2683 NA NA NA 17398 1771 4266 306 3069 NA NA NA
1497085200.0 10825.0 74 190 580 93 0 NA NA NA 137 233 639 140 0 NA NA NA 10300 1289 2900 183 2744 NA NA NA 6835 1058 5230 353 5848 NA NA NA
1497085200.0 10826.0 81 195 601 107 0 NA NA NA 143 248 657 140 0 NA NA NA 20097 1530 4383 192 2756 NA NA NA 18650 1198 9409 607 3254 NA NA NA
1497085200.0 10842.0 66 173 542 88 0 NA NA NA 122 222 608 139 0 NA NA NA 3548 825 2131 215 2241 NA NA NA 1925 1618 2826 9022 2349 NA NA NA
1497085200.0 109.0 86 98 364 NA NA NA NA NA 179 142 435 NA NA NA NA NA 11369 719 1448 NA NA NA NA NA 4867 377 1557 NA NA NA NA NA
1497085200.0 11.0 NA 105 465 0 75 NA NA NA NA 188 535 0 113 NA NA NA NA 4021 2417 1487 54 NA NA NA NA 2698 1933 2434 68 NA NA NA
1497085200.0 110.0 56 87 354 NA NA NA NA NA 134 139 414 NA NA NA NA NA 1905 604 1104 NA NA NA NA NA 1068 375 1027 NA NA NA NA NA
1497085200.0 1102.0 NA 108 372 128 78 NA NA NA NA 198 445 197 143 NA NA NA NA 3716 5757 2826 256 NA NA NA NA 1803 2807 1034 176 NA NA NA
1497085200.0 111.0 82 92 364 NA NA NA NA NA 180 144 428 NA NA NA NA NA 5148 529 1136 NA NA NA NA NA 2749 324 1225 NA NA NA NA NA
1497085200.0 112.0 86 108 381 NA NA NA NA NA 181 143 427 NA NA NA NA NA 7740 813 1315 NA NA NA NA NA 5758 730 1654 NA NA NA NA NA
1497085200.0 11224.0 78 202 583 0 NA NA NA NA 145 241 641 0 NA NA NA NA 13399 1321 3594 2715 NA NA NA NA 8712 918 5106 5938 NA NA NA NA
1497085200.0 113.0 85 105 379 NA NA NA NA NA 184 145 427 NA NA NA NA NA 8191 842 1342 NA NA NA NA NA 4679 653 2292 NA NA NA NA NA
1497085200.0 114.0 81 89 365 NA NA NA NA NA 178 148 428 NA NA NA NA NA 8264 693 1241 NA NA NA NA NA 7019 452 1357 NA NA NA NA NA
1497085200.0 115.0 83 93 364 NA NA NA NA NA 177 135 434 NA NA NA NA NA 8873 721 1334 NA NA NA NA NA 8981 486 1493 NA NA NA NA NA
1497085200.0 116.0 81 109 377 NA NA NA NA NA 185 146 422 NA NA NA NA NA 9971 814 1398 NA NA NA NA NA 8531 686 1880 NA NA NA NA NA
1497085200.0 117.0 84 100 384 NA NA NA NA NA 190 144 432 NA NA NA NA NA 10477 856 1514 NA NA NA NA NA 6894 592 1841 NA NA NA NA NA
1497085200.0 118.0 82 114 378 NA NA NA NA NA 173 153 437 NA NA NA NA NA 11903 872 1594 NA NA NA NA NA 7576 848 1545 NA NA NA NA NA
1497085200.0 119.0 90 103 373 NA NA NA NA NA 179 137 427 NA NA NA NA NA 7677 803 1371 NA NA NA NA NA 4840 896 1344 NA NA NA NA NA
1497085200.0 12.0 NA 109 372 0 NA NA NA NA NA 193 436 0 NA NA NA NA NA 3203 4260 1061 NA NA NA NA NA 1242 4554 1150 NA NA NA NA
