Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1497949200.0 1.0 79 84 NA NA NA NA NA 178 136 NA NA NA NA NA 3665 661 NA NA NA NA NA 2463 464 NA NA NA NA NA
1497949200.0 10.0 NA 107 NA NA NA NA NA NA 187 NA NA NA NA NA NA 3566 NA NA NA NA NA NA 1494 NA NA NA NA NA
1497949200.0 10001.0 NA 167 NA NA NA NA NA NA 258 NA NA NA NA NA NA 859 NA NA NA NA NA NA 670 NA NA NA NA NA
1497949200.0 10002.0 NA 168 NA NA NA NA NA NA 264 NA NA NA NA NA NA 880 NA NA NA NA NA NA 653 NA NA NA NA NA
1497949200.0 10003.0 NA 169 NA NA NA NA NA NA 265 NA NA NA NA NA NA 904 NA NA NA NA NA NA 630 NA NA NA NA NA
1497949200.0 10004.0 NA 176 NA NA NA NA NA NA 265 NA NA NA NA NA NA 986 NA NA NA NA NA NA 1349 NA NA NA NA NA
1497949200.0 10005.0 NA 169 NA NA NA NA NA NA 261 NA NA NA NA NA NA 876 NA NA NA NA NA NA 573 NA NA NA NA NA
1497949200.0 10006.0 NA 185 NA NA NA NA NA NA 264 NA NA NA NA NA NA 971 NA NA NA NA NA NA 1180 NA NA NA NA NA
1497949200.0 10007.0 NA 165 NA NA NA NA NA NA 258 NA NA NA NA NA NA 949 NA NA NA NA NA NA 712 NA NA NA NA NA
1497949200.0 10008.0 NA 168 NA NA NA NA NA NA 257 NA NA NA NA NA NA 940 NA NA NA NA NA NA 714 NA NA NA NA NA
1497949200.0 10009.0 NA 169 NA NA NA NA NA NA 260 NA NA NA NA NA NA 925 NA NA NA NA NA NA 623 NA NA NA NA NA
1497949200.0 10023.0 NA 165 NA NA NA NA NA NA 256 NA NA NA NA NA NA 853 NA NA NA NA NA NA 673 NA NA NA NA NA
1497949200.0 10024.0 NA 193 NA NA NA NA NA NA 276 NA NA NA NA NA NA 1211 NA NA NA NA NA NA 1168 NA NA NA NA NA
1497949200.0 10024.1 NA 201 NA NA NA NA NA NA 275 NA NA NA NA NA NA 1219 NA NA NA NA NA NA 1042 NA NA NA NA NA
1497949200.0 10024.2 NA 196 NA NA NA NA NA NA 282 NA NA NA NA NA NA 1193 NA NA NA NA NA NA 1062 NA NA NA NA NA
1497949200.0 10024.3 NA 192 NA NA NA NA NA NA 277 NA NA NA NA NA NA 1217 NA NA NA NA NA NA 1499 NA NA NA NA NA
1497949200.0 10024.4 NA 182 NA NA NA NA NA NA 273 NA NA NA NA NA NA 1035 NA NA NA NA NA NA 664 NA NA NA NA NA
1497949200.0 10024.5 NA 188 NA NA NA NA NA NA 279 NA NA NA NA NA NA 1223 NA NA NA NA NA NA 1160 NA NA NA NA NA
1497949200.0 10024.6 NA 190 NA NA NA NA NA NA 278 NA NA NA NA NA NA 1258 NA NA NA NA NA NA 1684 NA NA NA NA NA
1497949200.0 10025.0 NA 178 NA NA NA NA NA NA 269 NA NA NA NA NA NA 1107 NA NA NA NA NA NA 1022 NA NA NA NA NA
1497949200.0 10026.0 NA 184 NA NA NA NA NA NA 281 NA NA NA NA NA NA 1161 NA NA NA NA NA NA 894 NA NA NA NA NA
1497949200.0 1004.0 NA 320 360 0 0 0 0 NA 423 399 0 0 0 0 NA 1278 590 12 84 645 622 NA 1557 425 24 70 653 617
1497949200.0 10042.0 NA 177 NA NA NA NA NA NA 272 NA NA NA NA NA NA 1041 NA NA NA NA NA NA 758 NA NA NA NA NA
1497949200.0 10059.0 NA 186 NA NA NA NA NA NA 279 NA NA NA NA NA NA 1242 NA NA NA NA NA NA 1195 NA NA NA NA NA
1497949200.0 10071.0 NA 185 NA NA NA NA NA NA 273 NA NA NA NA NA NA 1160 NA NA NA NA NA NA 1718 NA NA NA NA NA
1497949200.0 1010.0 NA 70 40 0 NA NA NA NA 180 94 0 NA NA NA NA 190 58 71 NA NA NA NA 233 114 88 NA NA NA
1497949200.0 1020.0 NA 46 NA NA NA NA NA NA 132 NA NA NA NA NA NA 101 NA NA NA NA NA NA 130 NA NA NA NA NA
1497949200.0 10224.0 NA 330 NA NA NA NA NA NA 443 NA NA NA NA NA NA 5541 NA NA NA NA NA NA 7065 NA NA NA NA NA
1497949200.0 10225.0 NA 345 NA NA NA NA NA NA 436 NA NA NA NA NA NA 5912 NA NA NA NA NA NA 5853 NA NA NA NA NA
1497949200.0 103.0 40 0 NA NA NA NA NA 101 0 NA NA NA NA NA 1384 197 NA NA NA NA NA 1467 149 NA NA NA NA NA
1497949200.0 10424.0 NA 182 NA NA NA NA NA NA 275 NA NA NA NA NA NA 1040 NA NA NA NA NA NA 654 NA NA NA NA NA
1497949200.0 105.0 79 90 32 NA NA NA NA 176 150 84 NA NA NA NA 3311 599 7 NA NA NA NA 2018 292 36 NA NA NA NA
1497949200.0 106.0 40 0 NA NA NA NA NA 101 0 NA NA NA NA NA 1283 193 NA NA NA NA NA 1443 149 NA NA NA NA NA
1497949200.0 107.0 83 104 NA NA NA NA NA 180 144 NA NA NA NA NA 8556 671 NA NA NA NA NA 5223 297 NA NA NA NA NA
1497949200.0 108.0 88 94 NA NA NA NA NA 179 149 NA NA NA NA NA 9844 647 NA NA NA NA NA 4434 280 NA NA NA NA NA
