Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1498467600.0 1.0 78 87 140 NA NA 174 139 204 NA NA 3818 771 505 NA NA 1786 454 491 NA NA
1498467600.0 10.0 NA 114 368 0 NA NA 199 430 0 NA NA 3594 4444 876 NA NA 1388 4766 942 NA
1498467600.0 10002.0 NA 170 529 86 0 NA 260 599 133 0 NA 856 2380 167 1456 NA 619 3084 364 1511
1498467600.0 10003.0 NA 173 533 86 0 NA 263 600 133 0 NA 931 2190 176 1536 NA 758 2529 508 1734
1498467600.0 10005.0 NA 169 527 85 0 NA 259 595 131 0 NA 899 2071 171 1579 NA 783 2462 472 1897
1498467600.0 10006.0 NA 167 530 86 0 NA 259 600 133 0 NA 808 2034 170 1482 NA 814 2820 344 1632
1498467600.0 10007.0 NA 165 526 86 0 NA 268 598 135 0 NA 927 2089 191 1490 NA 817 2612 391 1571
1498467600.0 10008.0 NA 163 528 88 0 NA 261 598 134 0 NA 890 2291 171 1530 NA 654 2809 397 1724
1498467600.0 10009.0 NA 165 530 87 0 NA 265 590 134 0 NA 963 2084 155 1381 NA 875 2222 205 1397
1498467600.0 1002.0 NA 353 75 NA NA NA 455 115 NA NA NA 4505 335 NA NA NA 2927 382 NA NA
1498467600.0 10024.0 NA 179 546 91 0 NA 274 648 131 0 NA 1062 2503 149 1461 NA 777 2303 184 1476
1498467600.0 10024.1 NA 184 359 0 NA NA 273 406 0 NA NA 1050 1052 957 NA NA 787 1115 1147 NA
1498467600.0 10024.3 NA 182 314 0 NA NA 272 367 0 NA NA 1030 960 790 NA NA 780 1008 854 NA
1498467600.0 10024.5 NA 182 360 0 NA NA 276 410 0 NA NA 1069 985 956 NA NA 758 1215 1049 NA
1498467600.0 10024.6 NA 180 537 0 NA NA 269 609 0 NA NA 1020 2991 1615 NA NA 755 4094 1825 NA
1498467600.0 10025.0 NA 168 535 87 0 NA 268 602 138 0 NA 910 2188 171 1583 NA 628 2669 398 1784
1498467600.0 1003.0 NA 295 0 NA NA NA 394 0 NA NA NA 5254 854 NA NA NA 2036 859 NA NA
1498467600.0 10071.0 NA 182 547 87 0 NA 279 618 138 0 NA 1100 3005 178 1682 NA 625 3013 458 1862
1498467600.0 101.0 83 NA NA NA NA 140 NA NA NA NA 1839 NA NA NA NA 1974 NA NA NA NA
1498467600.0 1010.0 NA 36 78 0 NA NA 125 114 0 NA NA 33 260 109 NA NA 105 204 228 NA
1498467600.0 102.0 87 NA NA NA NA 141 NA NA NA NA 1311 NA NA NA NA 1370 NA NA NA NA
1498467600.0 1020.0 NA 44 NA NA NA NA 132 NA NA NA NA 77 NA NA NA NA 97 NA NA NA
1498467600.0 10224.0 NA 336 803 0 NA NA 448 910 0 NA NA 5778 8747 1738 NA NA 6203 5442 1974 NA
1498467600.0 10225.0 NA 343 817 0 NA NA 441 911 0 NA NA 5941 9046 1905 NA NA 6068 8503 3379 NA
1498467600.0 103.0 41 0 0 NA NA 101 0 0 NA NA 1322 246 661 NA NA 1366 176 789 NA NA
1498467600.0 10424.0 NA 182 543 0 NA NA 269 620 0 NA NA 1094 3234 1615 NA NA 1128 3938 1833 NA
