Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1498510800.0 10024.1 NA 198 360 0 NA 289 411 0 NA 1248 1027 931 NA 1082 974 1008
1498510800.0 10024.3 NA 199 317 0 NA 291 365 0 NA 1237 983 792 NA 1082 1031 857
1498510800.0 10024.5 NA 197 359 0 NA 283 412 0 NA 1158 1043 922 NA 895 1131 982
1498510800.0 250399.0 217 NA NA NA 319 NA NA NA 2035 NA NA NA 3785 NA NA NA
1498510800.0 250400.0 382 0 110 NA 503 0 165 NA 2196 321 445 NA 2860 443 478 NA
1498510800.0 250402.0 388 0 114 NA 499 0 172 NA 2402 346 478 NA 3266 498 494 NA
1498510800.0 250403.0 380 0 110 NA 499 0 166 NA 2037 318 411 NA 2993 482 497 NA
1498510800.0 250405.0 385 0 112 NA 503 0 162 NA 2217 314 451 NA 3001 399 461 NA
1498510800.0 250406.0 334 0 99 NA 438 0 160 NA 1399 290 306 NA 2375 419 477 NA
1498510800.0 250407.0 334 0 113 NA 426 0 166 NA 1895 245 412 NA 2688 334 457 NA
1498510800.0 250408.0 384 0 113 NA 495 0 167 NA 2222 339 465 NA 3105 451 490 NA
1498510800.0 250409.0 387 0 112 NA 500 0 164 NA 2977 357 584 NA 3552 460 524 NA
1498510800.0 25400.0 509 0 113 NA 640 0 166 NA 9607 421 388 NA 7532 476 565 NA
1498510800.0 25402.0 505 0 117 NA 631 0 169 NA 11871 418 496 NA 8172 496 562 NA
1498510800.0 25403.0 489 0 116 NA 618 0 173 NA 10781 416 443 NA 8938 455 673 NA
1498510800.0 25405.0 499 0 112 NA 613 0 167 NA 10831 419 401 NA 8099 469 566 NA
1498510800.0 25406.0 347 0 97 NA 440 0 161 NA 2809 350 272 NA 4331 534 451 NA
1498510800.0 25407.0 449 0 111 NA 552 0 162 NA 8775 378 351 NA 7661 411 552 NA
1498510800.0 25409.0 500 0 115 NA 628 0 171 NA 11139 422 465 NA 8414 507 530 NA
1498510800.0 4000.0 NA 112 370 NA NA 193 435 NA NA 3644 5826 NA NA 1367 2684 NA
1498510800.0 4001.0 NA 150 423 NA NA 247 527 NA NA 1266 2903 NA NA 810 1936 NA
1498510800.0 4002.0 NA 109 362 NA NA 195 431 NA NA 3099 3168 NA NA 1212 1933 NA
1498510800.0 4003.0 NA 108 362 NA NA 194 427 NA NA 3172 3489 NA NA 1248 2110 NA
1498510800.0 4006.0 58 129 394 NA 136 234 500 NA 2703 1002 1844 NA 1385 464 1652 NA
1498510800.0 4007.0 56 95 354 NA 124 194 463 NA 2834 421 1245 NA 1820 275 1185 NA
1498510800.0 4008.0 42 0 0 NA 101 0 0 NA 1455 194 675 NA 956 122 786 NA
1498510800.0 500199.0 205 NA NA NA 308 NA NA NA 5572 NA NA NA 5399 NA NA NA
1498510800.0 500200.0 NA 245 466 0 NA 343 529 0 NA 8784 3635 844 NA 5766 3181 1134
1498510800.0 500200.1 92 210 222 NA 160 307 289 NA 7742 1251 2335 NA 6111 1191 2591 NA
1498510800.0 500203.0 NA 236 470 0 NA 342 531 0 NA 8663 4315 862 NA 6126 3656 1101
1498510800.0 500204.0 NA 245 463 0 NA 342 527 0 NA 8779 3765 868 NA 6109 3446 1173
1498510800.0 500205.0 NA 250 459 0 NA 351 522 0 NA 8637 3596 840 NA 5666 3357 1125
1498510800.0 500207.0 NA 237 457 0 NA 342 516 0 NA 7772 3655 822 NA 5862 3310 1093
