Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1498554000.0 10.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 10024.5 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 11.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 12.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 1307.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 131.0 60 89 348 139 131 415 3111 600 1282 1245 890 2444
1498554000.0 1310.0 NA 113 NA NA 199 NA NA 714 NA NA 798 NA
1498554000.0 1311.0 NA 117 NA NA 194 NA NA 656 NA NA 392 NA
1498554000.0 1316.0 NA 109 0 NA 183 0 NA 621 0 NA 530 0
1498554000.0 134.807 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 134.811 NA 34 0 NA 130 0 NA 437 0 NA 537 0
1498554000.0 1340.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 1341.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 1343.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 1344.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 1345.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 1347.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 1348.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 1349.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 1350.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 1351.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 1352.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 1353.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.737 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.738 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.739 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.74 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.741 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.742 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.743 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.744 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.745 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.746 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.747 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.748 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.749 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.75 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 136.751 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 14.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 15.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 16.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 17.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 18.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 19.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 20.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 204.0 83 0 NA 179 0 NA 6727 0 NA 2338 0 NA
1498554000.0 21.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 22.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 23.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 250199.0 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1498554000.0 250199.17 0 NA NA 0 NA NA 0 NA NA 0 NA NA
1498554000.0 250200.17 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 31.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 32.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 4.28 NA 73 NA NA 165 NA NA 231 NA NA 555 NA
1498554000.0 4.29 NA 35 NA NA 125 NA NA 173 NA NA 417 NA
1498554000.0 4.36 NA 67 NA NA 148 NA NA 244 NA NA 131 NA
1498554000.0 4.37 NA 57 NA NA 148 NA NA 260 NA NA 406 NA
1498554000.0 4.4 NA 31 NA NA 126 NA NA 201 NA NA 392 NA
1498554000.0 43.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 44.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 45.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1498554000.0 513.0 0 NA NA 0 NA NA 376 NA NA 427 NA NA
