Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1498341600.0 11.0 NA 73 178 0 46 NA 140 236 0 76 NA 1321 811 567 39 NA 1334 837 578 69
1498341600.0 115.0 54 76 168 NA NA 99 143 227 NA NA 3065 330 492 NA NA 3131 345 514 NA NA
1498341600.0 118.0 57 81 170 NA NA 99 143 227 NA NA 3106 326 521 NA NA 3181 340 542 NA NA
1498341600.0 12.0 NA 74 178 0 NA NA 140 228 0 NA NA 1587 2154 612 NA NA 1609 2200 628 NA
1498341600.0 134.804 NA 107 205 0 NA NA 169 277 0 NA NA 2894 11289 1006 NA NA 3242 12047 1030 NA
1498341600.0 134.805 NA 110 212 0 NA NA 173 273 0 NA NA 3287 10874 940 NA NA 3647 11682 964 NA
1498341600.0 134.806 NA 112 202 0 NA NA 169 276 0 NA NA 3593 12272 950 NA NA 3956 13449 979 NA
1498341600.0 134.807 NA 130 213 0 NA NA 207 286 0 NA NA 3960 11501 1080 NA NA 4295 13188 1108 NA
1498341600.0 134.808 NA 131 215 0 NA NA 205 287 0 NA NA 3626 11797 1107 NA NA 3943 13603 1129 NA
1498341600.0 135.11 186 0 90 NA NA 253 0 143 NA NA 1015 153 284 NA NA 1262 162 356 NA NA
1498341600.0 25400.0 215 0 92 NA NA 306 0 144 NA NA 5294 323 706 NA NA 7906 342 907 NA NA
1498341600.0 280.0 76 75 168 0 NA 169 143 227 0 NA 5015 369 569 527 NA 5135 388 632 544 NA
1498341600.0 301.0 77 153 288 0 NA 132 220 367 0 NA 2981 851 1988 597 NA 3272 1104 2112 610 NA
1498341600.0 4.45 NA 28 191 0 NA NA 68 254 0 NA NA 113 6055 566 NA NA 171 6183 609 NA
1498341600.0 4.53 NA 28 189 0 NA NA 67 252 0 NA NA 111 5741 565 NA NA 164 5850 580 NA
1498341600.0 4.54 NA 28 193 0 NA NA 67 257 0 NA NA 111 5841 599 NA NA 147 5940 613 NA
1498341600.0 4.61 NA 28 193 0 NA NA 68 258 0 NA NA 112 5765 619 NA NA 163 5870 632 NA
1498341600.0 4.62 NA 28 188 0 NA NA 67 252 0 NA NA 113 5690 590 NA NA 187 5778 611 NA
1498341600.0 4.65 NA 22 198 0 NA NA 67 265 0 NA NA 172 15038 843 NA NA 265 15717 862 NA
1498341600.0 4.67 NA 45 188 0 NA NA 83 265 0 NA NA 212 12471 878 NA NA 320 12947 900 NA
1498341600.0 4.68 NA 25 186 0 NA NA 69 256 0 NA NA 146 9062 959 NA NA 172 9550 992 NA
1498341600.0 4.77 NA 45 188 0 NA NA 81 259 0 NA NA 185 12192 891 NA NA 302 12643 918 NA
