Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1498341600.0 1.0 53 72 130 NA NA NA NA 98 147 183 NA NA NA NA 1844 274 467 NA NA NA NA 1894 381 584 NA NA NA NA
1498341600.0 10.0 NA 80 199 0 NA NA NA NA 151 257 0 NA NA NA NA 2048 2115 618 NA NA NA NA 2239 2164 639 NA NA NA
1498341600.0 1000.0 NA 223 126 0 47 NA NA NA 288 185 0 79 NA NA NA 3227 506 505 123 NA NA NA 3342 590 518 171 NA NA
1498341600.0 1002.0 NA 216 60 NA NA NA NA NA 275 100 NA NA NA NA NA 2025 124 NA NA NA NA NA 2084 137 NA NA NA NA
1498341600.0 10023.0 NA 88 133 0 NA NA NA NA 181 181 0 NA NA NA NA 450 365 199 NA NA NA NA 771 530 225 NA NA NA
1498341600.0 10024.0 NA 94 134 0 NA NA NA NA 181 185 0 NA NA NA NA 487 497 224 NA NA NA NA 577 575 235 NA NA NA
1498341600.0 10025.0 NA 90 132 0 NA NA NA NA 181 181 0 NA NA NA NA 459 468 196 NA NA NA NA 537 529 207 NA NA NA
1498341600.0 10026.0 NA 92 134 0 NA NA NA NA 181 186 0 NA NA NA NA 535 566 226 NA NA NA NA 877 634 243 NA NA NA
1498341600.0 1004.0 NA 179 142 0 0 0 0 NA 242 180 0 0 0 0 NA 404 207 5 47 404 423 NA 428 230 11 55 413 429
1498341600.0 101.0 81 NA NA NA NA NA NA 142 NA NA NA NA NA NA 854 NA NA NA NA NA NA 867 NA NA NA NA NA NA
1498341600.0 102.0 83 NA NA NA NA NA NA 141 NA NA NA NA NA NA 673 NA NA NA NA NA NA 702 NA NA NA NA NA NA
1498341600.0 10224.0 NA 125 192 0 NA NA NA NA 195 278 0 NA NA NA NA 1997 1829 249 NA NA NA NA 3880 5724 275 NA NA NA
1498341600.0 10225.0 NA 125 199 0 NA NA NA NA 198 287 0 NA NA NA NA 2126 1890 260 NA NA NA NA 7504 9461 308 NA NA NA
1498341600.0 103.0 49 85 197 NA NA NA NA 94 149 254 NA NA NA NA 623 158 244 NA NA NA NA 642 167 257 NA NA NA NA
1498341600.0 105.0 52 78 24 NA NA NA NA 98 149 54 NA NA NA NA 1883 268 2 NA NA NA NA 1965 281 7 NA NA NA NA
1498341600.0 106.0 37 0 0 NA NA NA NA 77 0 0 NA NA NA NA 328 58 118 NA NA NA NA 341 80 134 NA NA NA NA
1498341600.0 107.0 53 84 191 NA NA NA NA 99 149 254 NA NA NA NA 3619 320 410 NA NA NA NA 3740 336 431 NA NA NA NA
1498341600.0 108.0 56 78 190 NA NA NA NA 102 149 254 NA NA NA NA 4366 316 476 NA NA NA NA 4486 369 658 NA NA NA NA
1498341600.0 109.0 56 90 195 NA NA NA NA 101 149 254 NA NA NA NA 4552 287 437 NA NA NA NA 4615 301 457 NA NA NA NA
1498341600.0 110.0 45 77 191 NA NA NA NA 85 149 254 NA NA NA NA 543 289 309 NA NA NA NA 554 309 346 NA NA NA NA
1498341600.0 1102.0 NA 81 198 125 68 NA NA NA 151 262 175 113 NA NA NA 1811 2400 1758 129 NA NA NA 1854 2642 1840 135 NA NA
1498341600.0 111.0 52 81 192 NA NA NA NA 98 149 254 NA NA NA NA 2209 282 416 NA NA NA NA 2268 321 481 NA NA NA NA
1498341600.0 112.0 54 81 194 NA NA NA NA 100 149 254 NA NA NA NA 5602 380 479 NA NA NA NA 5686 415 498 NA NA NA NA
1498341600.0 113.0 52 83 192 NA NA NA NA 100 149 255 NA NA NA NA 5553 404 463 NA NA NA NA 5853 432 506 NA NA NA NA
1498341600.0 114.0 55 81 192 NA NA NA NA 99 149 254 NA NA NA NA 5195 380 477 NA NA NA NA 5295 399 507 NA NA NA NA
1498341600.0 115.0 55 78 196 NA NA NA NA 101 149 254 NA NA NA NA 4238 371 409 NA NA NA NA 4308 390 430 NA NA NA NA
1498341600.0 116.0 55 88 190 NA NA NA NA 101 149 254 NA NA NA NA 3715 346 423 NA NA NA NA 3855 371 470 NA NA NA NA
1498341600.0 117.0 55 88 193 NA NA NA NA 101 149 254 NA NA NA NA 4685 305 427 NA NA NA NA 4797 322 452 NA NA NA NA
1498341600.0 118.0 55 78 200 NA NA NA NA 100 149 255 NA NA NA NA 3819 332 481 NA NA NA NA 3913 369 558 NA NA NA NA
1498341600.0 119.0 53 76 191 NA NA NA NA 98 149 254 NA NA NA NA 5199 370 469 NA NA NA NA 5246 420 499 NA NA NA NA
1498341600.0 12.0 NA 81 196 0 NA NA NA NA 151 256 0 NA NA NA NA 1817 2206 652 NA NA NA NA 1854 2248 672 NA NA NA
1498341600.0 120.0 45 76 191 NA NA NA NA 89 149 254 NA NA NA NA 454 271 284 NA NA NA NA 480 291 299 NA NA NA NA
1498341600.0 121.0 56 78 201 NA NA NA NA 101 149 256 NA NA NA NA 4825 320 444 NA NA NA NA 4923 354 497 NA NA NA NA
1498341600.0 122.0 53 80 193 NA NA NA NA 98 149 254 NA NA NA NA 1308 210 285 NA NA NA NA 1330 226 304 NA NA NA NA
1498341600.0 123.1 174 NA NA NA NA NA NA 238 NA NA NA NA NA NA 452 NA NA NA NA NA NA 491 NA NA NA NA NA NA
1498341600.0 123.2 176 NA NA NA NA NA NA 239 NA NA NA NA NA NA 491 NA NA NA NA NA NA 517 NA NA NA NA NA NA
1498341600.0 123.3 162 NA NA NA NA NA NA 226 NA NA NA NA NA NA 281 NA NA NA NA NA NA 299 NA NA NA NA NA NA
1498341600.0 124.1 169 NA NA NA NA NA NA 231 NA NA NA NA NA NA 291 NA NA NA NA NA NA 309 NA NA NA NA NA NA
1498341600.0 124.2 174 NA NA NA NA NA NA 237 NA NA NA NA NA NA 374 NA NA NA NA NA NA 402 NA NA NA NA NA NA
1498341600.0 124.4 169 NA NA NA NA NA NA 230 NA NA NA NA NA NA 300 NA NA NA NA NA NA 320 NA NA NA NA NA NA
1498341600.0 124.5 174 NA NA NA NA NA NA 231 NA NA NA NA NA NA 296 NA NA NA NA NA NA 315 NA NA NA NA NA NA
1498341600.0 124.6 161 NA NA NA NA NA NA 226 NA NA NA NA NA NA 283 NA NA NA NA NA NA 303 NA NA NA NA NA NA
1498341600.0 125.0 55 77 192 NA NA NA NA 101 149 254 NA NA NA NA 4184 299 359 NA NA NA NA 4237 329 390 NA NA NA NA
1498341600.0 126.0 44 75 190 NA NA NA NA 85 149 254 NA NA NA NA 918 274 320 NA NA NA NA 933 297 342 NA NA NA NA
1498341600.0 127.0 45 74 186 NA NA NA NA 89 149 254 NA NA NA NA 919 262 415 NA NA NA NA 931 281 439 NA NA NA NA
1498341600.0 128.0 44 75 187 NA NA NA NA 84 149 254 NA NA NA NA 378 251 290 NA NA NA NA 387 266 316 NA NA NA NA
1498341600.0 129.0 44 74 188 NA NA NA NA 84 149 254 NA NA NA NA 411 252 270 NA NA NA NA 429 267 311 NA NA NA NA
1498341600.0 13.0 NA 74 190 0 NA NA NA NA 161 254 0 NA NA NA NA 230 626 352 NA NA NA NA 259 653 373 NA NA NA
1498341600.0 130.0 46 78 191 NA NA NA NA 89 149 254 NA NA NA NA 554 263 332 NA NA NA NA 566 290 355 NA NA NA NA
1498341600.0 1301.0 59 145 172 NA NA NA NA 104 199 229 NA NA NA NA 2168 462 1433 NA NA NA NA 2519 519 1499 NA NA NA NA
1498341600.0 1302.0 64 150 178 NA NA NA NA 110 199 234 NA NA NA NA 7311 513 1535 NA NA NA NA 7795 575 2163 NA NA NA NA
1498341600.0 1303.0 66 158 183 NA NA NA NA 111 199 240 NA NA NA NA 9146 657 1883 NA NA NA NA 10279 1122 2215 NA NA NA NA
1498341600.0 1306.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1307.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1308.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1309.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 131.0 46 83 190 NA NA NA NA 90 149 254 NA NA NA NA 1299 287 302 NA NA NA NA 1314 299 323 NA NA NA NA
1498341600.0 1310.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1311.0 NA 158 231 0 69 NA NA NA 219 291 0 101 NA NA NA 425 771 1485 66 NA NA NA 524 850 1501 95 NA NA
1498341600.0 1312.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1313.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1314.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1315.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1316.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1317.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1318.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1319.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1320.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1321.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1322.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1324.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1498341600.0 1325.0 NA 172 253 0 74 NA NA NA 229 316 0 110 NA NA NA 544 1138 1276 120 NA NA NA 612 1218 1296 596 NA NA
1498341600.0 1326.0 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
