Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1498467600.0 1303.0 88 186 197 NA 155 458 298 NA 12145 741 1010 NA 4287 403 985 NA
1498467600.0 1317.0 NA 192 527 0 NA 470 640 0 NA 481 801 1052 NA 371 673 1084
1498467600.0 134.806 NA 34 430 0 NA 105 528 0 NA 125 4942 342 NA 81 1882 555
1498467600.0 136.726 NA NA 473 0 NA NA 579 0 NA NA 12864 981 NA NA 4393 1114
1498467600.0 136.7321 NA 196 482 0 NA 312 587 0 NA 2585 6311 648 NA 1298 2148 677
1498467600.0 136.734 NA 196 475 0 NA 307 577 0 NA 4231 7980 678 NA 1799 2574 707
1498467600.0 136.741 NA 204 494 0 NA 339 621 0 NA 4690 9769 469 NA 1707 3901 491
1498467600.0 136.759 NA 210 519 0 NA 337 661 0 NA 5083 12563 458 NA 1808 4730 504
1498467600.0 136.77 NA 203 495 0 NA 313 629 0 NA 4144 9797 491 NA 1885 3529 504
1498467600.0 1361.0 88 200 544 0 223 461 654 0 5489 567 1250 1154 2964 369 1270 1185
1498467600.0 13992501.0 NA 316 728 0 NA 504 970 0 NA 2753 3041 1009 NA 1644 3668 1025
1498467600.0 250204.0 NA 386 580 0 NA 677 766 0 NA 9705 2275 801 NA 3665 1660 830
1498467600.0 250205.0 NA 378 580 0 NA 603 757 0 NA 9542 2195 795 NA 3505 1726 825
1498467600.0 25206.0 NA 309 745 0 NA 509 989 0 NA 2433 3154 1112 NA 1510 4621 1121
1498467600.0 25211.0 90 281 736 0 223 492 954 0 4207 2225 2679 977 2248 1222 1641 987
1498467600.0 27434.0 83 300 406 0 142 373 508 0 9472 1815 1208 656 3531 885 1025 674
