Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1497042000.0 1.0 83 90 142 NA NA NA NA NA 157 365 201 NA NA NA NA NA 1783 315 215 NA NA NA NA NA 819 141 197 NA NA NA NA NA
1497042000.0 10.0 NA 98 391 0 NA NA NA NA NA 382 479 0 NA NA NA NA NA 1600 1750 405 NA NA NA NA NA 522 796 413 NA NA NA NA
1497042000.0 1000.0 NA 409 134 0 52 NA NA NA NA 513 199 0 90 NA NA NA NA 3257 597 748 124 NA NA NA NA 1450 395 760 130 NA NA NA
1497042000.0 10001.0 NA 168 579 96 0 NA NA NA NA 441 723 134 0 NA NA NA NA 424 738 69 769 NA NA NA NA 264 711 116 778 NA NA NA
1497042000.0 10002.0 NA 168 576 96 0 NA NA NA NA 443 729 134 0 NA NA NA NA 415 797 79 776 NA NA NA NA 266 753 118 811 NA NA NA
1497042000.0 10003.0 NA 168 561 91 0 NA NA NA NA 439 727 134 0 NA NA NA NA 415 844 93 779 NA NA NA NA 273 2797 383 788 NA NA NA
1497042000.0 10004.0 NA 169 578 97 0 NA NA NA NA 434 724 134 0 NA NA NA NA 637 1055 104 1083 NA NA NA NA 397 1001 144 1093 NA NA NA
1497042000.0 10005.0 NA 170 573 89 0 NA NA NA NA 442 730 134 0 NA NA NA NA 402 753 77 809 NA NA NA NA 255 750 403 870 NA NA NA
1497042000.0 10006.0 NA 169 576 88 0 NA NA NA NA 441 719 134 0 NA NA NA NA 391 725 75 800 NA NA NA NA 279 752 121 808 NA NA NA
1497042000.0 10007.0 NA 167 478 90 0 NA NA NA NA 435 732 134 0 NA NA NA NA 418 1514 76 807 NA NA NA NA 455 14440 362 837 NA NA NA
1497042000.0 10008.0 NA 167 578 96 0 NA NA NA NA 434 727 135 0 NA NA NA NA 660 1173 119 1131 NA NA NA NA 421 1043 172 1142 NA NA NA
1497042000.0 10009.0 NA 161 483 89 0 NA NA NA NA 443 725 134 0 NA NA NA NA 684 1602 107 1154 NA NA NA NA 394 3081 236 2558 NA NA NA
1497042000.0 1001.0 NA 408 378 0 0 0 0 0 NA 495 450 0 0 0 0 0 NA 2850 810 6 38 589 35 727 NA 1318 716 10 35 595 44 722
1497042000.0 10023.0 NA 171 580 97 0 NA NA NA NA 443 731 134 0 NA NA NA NA 711 1180 114 1205 NA NA NA NA 415 1104 167 1265 NA NA NA
1497042000.0 10024.0 NA 186 474 89 0 NA NA NA NA 443 745 136 0 NA NA NA NA 777 2288 111 1271 NA NA NA NA 431 13216 181 1290 NA NA NA
1497042000.0 10024.1 NA 187 388 0 NA NA NA NA NA 442 500 0 NA NA NA NA NA 494 471 542 NA NA NA NA NA 312 451 559 NA NA NA NA
1497042000.0 10024.2 NA 191 591 0 NA NA NA NA NA 442 735 0 NA NA NA NA NA 872 1454 1468 NA NA NA NA NA 524 1115 1597 NA NA NA NA
1497042000.0 10024.4 NA 183 596 0 NA NA NA NA NA 443 739 0 NA NA NA NA NA 885 1493 1378 NA NA NA NA NA 438 1139 2166 NA NA NA NA
1497042000.0 10024.6 NA 189 593 0 NA NA NA NA NA 441 734 0 NA NA NA NA NA 821 1644 1187 NA NA NA NA NA 464 1296 1206 NA NA NA NA
1497042000.0 10025.0 NA 174 502 89 0 NA NA NA NA 439 732 134 0 NA NA NA NA 787 1556 107 1285 NA NA NA NA 465 3050 236 2674 NA NA NA
1497042000.0 10026.0 NA 183 607 98 0 NA NA NA NA 444 736 136 0 NA NA NA NA 506 1168 75 894 NA NA NA NA 286 802 113 903 NA NA NA
1497042000.0 1004.0 NA 342 361 0 0 0 0 NA NA 437 432 0 0 0 0 NA NA 462 456 4 22 451 462 NA NA 351 419 7 25 454 467 NA
1497042000.0 10042.0 NA 177 462 91 0 NA NA NA NA 442 738 136 0 NA NA NA NA 479 1579 78 890 NA NA NA NA 486 14440 365 945 NA NA NA
1497042000.0 10059.0 NA 187 601 97 0 NA NA NA NA 443 757 136 0 NA NA NA NA 578 1757 77 903 NA NA NA NA 323 977 109 915 NA NA NA
1497042000.0 10071.0 NA 190 521 93 0 NA NA NA NA 443 747 135 0 NA NA NA NA 789 2275 130 1251 NA NA NA NA 638 3543 249 1262 NA NA NA
1497042000.0 101.0 86 NA NA NA NA NA NA NA 152 NA NA NA NA NA NA NA 816 NA NA NA NA NA NA NA 836 NA NA NA NA NA NA NA
1497042000.0 1010.0 NA 80 40 0 NA NA NA NA NA 135 76 0 NA NA NA NA NA 117 15 19 NA NA NA NA NA 172 62 117 NA NA NA NA
1497042000.0 102.0 87 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 642 NA NA NA NA NA NA NA 652 NA NA NA NA NA NA NA
1497042000.0 1020.0 NA 41 NA NA NA NA NA NA NA 111 NA NA NA NA NA NA NA 49 NA NA NA NA NA NA NA 53 NA NA NA NA NA NA
1497042000.0 10224.0 NA 285 873 0 NA NA NA NA NA 467 1059 0 NA NA NA NA NA 2542 4200 861 NA NA NA NA NA 1847 2116 870 NA NA NA NA
1497042000.0 10225.0 NA 278 838 0 NA NA NA NA NA 454 1025 0 NA NA NA NA NA 2545 3129 832 NA NA NA NA NA 1942 1894 841 NA NA NA NA
1497042000.0 103.0 38 0 0 NA NA NA NA NA 84 0 0 NA NA NA NA NA 760 97 219 NA NA NA NA NA 408 43 221 NA NA NA NA NA
1497042000.0 10424.0 NA 176 592 0 NA NA NA NA NA 441 740 0 NA NA NA NA NA 703 1455 1297 NA NA NA NA NA 426 1128 1317 NA NA NA NA
1497042000.0 105.0 80 88 29 NA NA NA NA NA 153 358 64 NA NA NA NA NA 1747 298 2 NA NA NA NA NA 783 131 5 NA NA NA NA NA
1497042000.0 106.0 40 0 0 NA NA NA NA NA 84 0 0 NA NA NA NA NA 725 98 225 NA NA NA NA NA 384 43 232 NA NA NA NA NA
1497042000.0 107.0 85 94 378 NA NA NA NA NA 168 359 465 NA NA NA NA NA 3977 304 508 NA NA NA NA NA 1443 141 425 NA NA NA NA NA
1497042000.0 108.0 85 90 383 NA NA NA NA NA 164 366 476 NA NA NA NA NA 6074 337 650 NA NA NA NA NA 2065 191 509 NA NA NA NA NA
1497042000.0 10824.0 90 179 599 98 0 NA NA NA 136 430 744 136 0 NA NA NA 5905 575 1026 77 907 NA NA NA 2450 423 837 122 925 NA NA NA
1497042000.0 10825.0 81 176 592 88 0 NA NA NA 129 434 734 135 0 NA NA NA 4873 455 935 78 869 NA NA NA 1758 262 782 115 893 NA NA NA
