Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1498424400.0 10001.0 NA 158 554 87 0 NA 442 702 134 0 NA 348 622 66 476 NA 223 598 99 483
1498424400.0 10024.6 NA 185 559 0 NA NA 442 710 0 NA NA 423 823 542 NA NA 249 685 554 NA
1498424400.0 1003.0 NA 295 0 NA NA NA 398 0 NA NA NA 2524 316 NA NA NA 946 341 NA NA
1498424400.0 101.0 83 NA NA NA NA 151 NA NA NA NA 960 NA NA NA NA 1018 NA NA NA NA
1498424400.0 1010.0 NA 25 69 0 NA NA 79 119 0 NA NA 18 75 25 NA NA 88 74 30 NA
1498424400.0 102.0 84 NA NA NA NA 149 NA NA NA NA 674 NA NA NA NA 704 NA NA NA NA
1498424400.0 1020.0 NA 39 NA NA NA NA 110 NA NA NA NA 55 NA NA NA NA 58 NA NA NA
1498424400.0 10224.0 NA 274 802 0 NA NA 467 1027 0 NA NA 2525 2789 638 NA NA 1248 1464 668 NA
1498424400.0 10225.0 NA 266 800 0 NA NA 459 1007 0 NA NA 2215 2542 598 NA NA 1455 1327 611 NA
1498424400.0 103.0 36 0 0 NA NA 83 0 0 NA NA 728 121 259 NA NA 391 57 334 NA NA
1498424400.0 105.0 79 81 27 NA NA 154 366 64 NA NA 2514 305 3 NA NA 1029 154 18 NA NA
1498424400.0 106.0 36 0 0 NA NA 84 0 0 NA NA 721 110 256 NA NA 390 53 261 NA NA
1498424400.0 10824.0 88 186 439 90 0 134 437 719 135 0 6612 568 1572 78 687 2381 295 6236 139 698
1498424400.0 10825.0 80 178 561 97 0 128 432 708 134 0 3625 435 768 88 549 1407 251 671 135 591
1498424400.0 10826.0 79 180 579 97 0 135 445 720 135 0 6150 493 1116 64 559 2299 609 794 94 576
1498424400.0 110.0 59 79 361 NA NA 121 366 465 NA NA 936 293 490 NA NA 456 146 457 NA NA
1498424400.0 11224.0 80 184 581 0 NA 133 433 717 0 NA 4671 455 891 526 NA 1671 254 711 534 NA
1498424400.0 120.0 57 79 358 NA NA 116 366 445 NA NA 804 359 462 NA NA 424 161 424 NA NA
1498424400.0 122.0 50 77 350 NA NA 110 358 467 NA NA 1068 187 449 NA NA 735 120 439 NA NA
1498424400.0 123.1 343 NA NA NA NA 496 NA NA NA NA 708 NA NA NA NA 436 NA NA NA NA
1498424400.0 123.2 343 NA NA NA NA 496 NA NA NA NA 743 NA NA NA NA 436 NA NA NA NA
1498424400.0 123.3 276 NA NA NA NA 496 NA NA NA NA 452 NA NA NA NA 305 NA NA NA NA
1498424400.0 124.1 321 NA NA NA NA 495 NA NA NA NA 460 NA NA NA NA 322 NA NA NA NA
1498424400.0 124.2 340 NA NA NA NA 504 NA NA NA NA 727 NA NA NA NA 378 NA NA NA NA
1498424400.0 124.4 326 NA NA NA NA 496 NA NA NA NA 472 NA NA NA NA 321 NA NA NA NA
1498424400.0 124.5 324 NA NA NA NA 495 NA NA NA NA 484 NA NA NA NA 308 NA NA NA NA
1498424400.0 124.6 277 NA NA NA NA 496 NA NA NA NA 463 NA NA NA NA 317 NA NA NA NA
1498424400.0 126.0 62 80 358 NA NA 124 358 457 NA NA 1656 295 480 NA NA 655 148 436 NA NA
1498424400.0 128.0 57 88 357 NA NA 111 358 461 NA NA 847 364 459 NA NA 437 162 425 NA NA
1498424400.0 129.0 56 77 360 NA NA 111 358 457 NA NA 817 305 458 NA NA 404 143 435 NA NA
1498424400.0 13.0 NA 89 364 0 NA NA 378 464 0 NA NA 268 843 349 NA NA 157 491 361 NA
1498424400.0 130.0 57 87 359 NA NA 114 366 461 NA NA 915 290 445 NA NA 436 141 415 NA NA
1498424400.0 131.0 60 77 358 NA NA 119 358 463 NA NA 1682 285 471 NA NA 728 150 433 NA NA
1498424400.0 1310.0 NA 217 549 0 NA NA 468 653 0 NA NA 484 736 840 NA NA 277 596 917 NA
1498424400.0 1311.0 NA 189 543 0 63 NA 468 651 0 108 NA 451 890 972 66 NA 284 864 986 110
1498424400.0 1317.0 NA 197 540 0 NA NA 477 641 0 NA NA 423 680 800 NA NA 351 579 814 NA
1498424400.0 1319.0 NA 190 538 0 NA NA 463 647 0 NA NA 398 559 724 NA NA 243 465 733 NA
1498424400.0 134.0 NA 366 37 0 NA NA 463 77 0 NA NA 2367 6 7 NA NA 984 28 13 NA
1498424400.0 134.813 NA 179 67 0 NA NA 280 115 0 NA NA 612 72 132 NA NA 378 76 147 NA
1498424400.0 134.902 NA 40 426 0 NA NA 91 499 0 NA NA 108 3436 336 NA NA 83 1194 344 NA
1498424400.0 1340.0 NA 189 553 0 NA NA 462 648 0 NA NA 412 620 767 NA NA 256 511 776 NA
1498424400.0 135.1 357 0 103 NA NA 516 0 153 NA NA 860 222 179 NA NA 562 235 194 NA NA
1498424400.0 135.11 361 0 104 NA NA 516 0 160 NA NA 1118 237 222 NA NA 743 250 192 NA NA
1498424400.0 135.12 351 0 101 NA NA 524 0 151 NA NA 702 200 166 NA NA 425 212 271 NA NA
1498424400.0 135.13 425 0 NA NA NA 636 0 NA NA NA 737 440 NA NA NA 637 478 NA NA NA
1498424400.0 135.3 296 0 96 NA NA 523 0 153 NA NA 518 123 147 NA NA 369 131 189 NA NA
1498424400.0 135.6 355 0 99 NA NA 516 0 154 NA NA 664 197 181 NA NA 388 206 589 NA NA
1498424400.0 135.8 136 NA NA NA NA 208 NA NA NA NA 274 NA NA NA NA 228 NA NA NA NA
1498424400.0 136.722 NA 203 492 0 NA NA 303 594 0 NA NA 2679 6213 567 NA NA 1304 2897 581 NA
1498424400.0 136.724 NA 204 499 0 NA NA 307 604 0 NA NA 3452 6848 564 NA NA 1094 2218 574 NA
1498424400.0 136.728 NA 221 497 0 NA NA 344 604 0 NA NA 20050 7859 622 NA NA 24424 2540 633 NA
1498424400.0 136.729 NA 191 483 0 NA NA 297 572 0 NA NA 2358 5787 552 NA NA 874 1889 568 NA
1498424400.0 136.731 NA 202 495 0 NA NA 305 596 0 NA NA 2661 5717 562 NA NA 892 1864 706 NA
1498424400.0 136.733 NA 188 74 0 NA NA 292 122 0 NA NA 1394 205 133 NA NA 1360 140 144 NA
1498424400.0 136.736 NA 213 489 0 NA NA 318 602 0 NA NA 5528 13249 584 NA NA 2248 5231 600 NA
1498424400.0 136.737 NA 216 527 0 NA NA 322 640 0 NA NA 4687 10133 553 NA NA 1709 3034 565 NA
1498424400.0 136.738 NA 213 483 0 NA NA 311 599 0 NA NA 6446 14052 605 NA NA 2770 5967 615 NA
1498424400.0 136.739 NA 219 497 0 NA NA 321 637 0 NA NA 5940 11969 578 NA NA 2038 4305 589 NA
